t, phi
0.000000, 0.791352
0.020000, 0.791380
0.030000, 0.791377
0.040000, 0.791420
0.050000, 0.791418
0.060000, 0.791403
0.070000, 0.791407
0.080000, 0.791425
0.090000, 0.791479
0.100000, 0.791473
0.110000, 0.791512
0.120000, 0.791515
0.130000, 0.791543
0.140000, 0.791570
0.150000, 0.791611
0.160000, 0.791574
0.170000, 0.791592
0.180000, 0.791655
0.190000, 0.791697
0.200000, 0.791708
0.210000, 0.791750
0.220000, 0.791816
0.230000, 0.791849
0.240000, 0.791854
0.250000, 0.791840
0.260000, 0.791911
0.270000, 0.791912
0.280000, 0.791981
0.300000, 0.792032
0.310000, 0.792035
0.320000, 0.792010
0.330000, 0.791994
0.340000, 0.792008
0.350000, 0.792060
0.360000, 0.792084
0.370000, 0.792036
0.380000, 0.792058
0.390000, 0.792113
0.400000, 0.792153
0.410000, 0.792193
0.420000, 0.792237
0.430000, 0.792280
0.440000, 0.792323
0.450000, 0.792373
0.460000, 0.792409
0.470000, 0.792421
0.480000, 0.792452
0.490000, 0.792451
0.500000, 0.792443
0.510000, 0.792483
0.520000, 0.792490
0.530000, 0.792529
0.540000, 0.792521
0.550000, 0.792516
0.560000, 0.792508
0.570000, 0.792501
0.580000, 0.792455
0.590000, 0.792435
0.600000, 0.792467
0.610000, 0.792498
0.620000, 0.792494
0.630000, 0.792492
0.640000, 0.792542
0.650000, 0.792567
0.660000, 0.792576
0.670000, 0.792585
0.680000, 0.792645
0.690000, 0.792639
0.700000, 0.792627
0.710000, 0.792622
0.720000, 0.792612
0.730000, 0.792614
0.740000, 0.792631
0.750000, 0.792662
0.760000, 0.792641
0.770000, 0.792614
0.780000, 0.792629
0.790000, 0.792695
0.800000, 0.792717
0.810000, 0.792715
0.820000, 0.792737
0.830000, 0.792733
0.839999, 0.792698
0.849999, 0.792696
0.859999, 0.792723
0.869999, 0.792689
0.879999, 0.792713
0.889999, 0.792788
0.899999, 0.792773
0.909999, 0.792789
0.919999, 0.792841
0.929999, 0.792851
0.939999, 0.792892
0.949999, 0.792890
0.959999, 0.792872
0.969999, 0.792865
0.979999, 0.792861
0.989999, 0.792851
0.999999, 0.792847
1.009999, 0.792907
1.019999, 0.792908
1.029999, 0.792936
1.039999, 0.792888
1.049999, 0.792887
1.059999, 0.792881
1.069999, 0.792869
1.079999, 0.792868
