t, phi
0.000000, 2.362157
0.020000, 2.362118
0.030000, 2.362147
0.040000, 2.362116
0.050000, 2.362083
0.060000, 2.362027
0.070000, 2.361957
0.080000, 2.361939
0.090000, 2.361879
0.100000, 2.361859
0.110000, 2.361805
0.120000, 2.361772
0.130000, 2.361736
0.140000, 2.361714
0.150000, 2.361706
0.160000, 2.361678
0.170000, 2.361702
0.180000, 2.361721
0.190000, 2.361739
0.200000, 2.361730
0.210000, 2.361726
0.220000, 2.361657
0.230000, 2.361670
0.240000, 2.361653
0.250000, 2.361575
0.260000, 2.361560
0.270000, 2.361534
0.280000, 2.361509
0.300000, 2.361483
0.310000, 2.361499
0.320000, 2.361425
0.330000, 2.361398
0.340000, 2.361405
0.350000, 2.361399
0.360000, 2.361420
0.370000, 2.361414
0.380000, 2.361405
0.390000, 2.361402
0.400000, 2.361344
0.410000, 2.361317
0.420000, 2.361299
0.430000, 2.361274
0.440000, 2.361248
0.450000, 2.361242
0.460000, 2.361238
0.470000, 2.361223
0.480000, 2.361195
0.490000, 2.361223
0.500000, 2.361190
0.510000, 2.361187
0.520000, 2.361140
0.530000, 2.361163
0.540000, 2.361167
0.550000, 2.361132
0.560000, 2.361151
0.570000, 2.361206
0.580000, 2.361164
0.590000, 2.361114
0.600000, 2.361097
0.610000, 2.361114
0.620000, 2.361146
0.630000, 2.361120
0.640000, 2.361116
0.650000, 2.361075
0.660000, 2.361068
0.670000, 2.361008
0.680000, 2.360960
0.690000, 2.360942
0.700000, 2.360915
0.710000, 2.360940
0.720000, 2.360887
0.730000, 2.360877
0.740000, 2.360878
0.750000, 2.360849
0.760000, 2.360741
0.770000, 2.360755
0.780000, 2.360826
0.790000, 2.360822
0.800000, 2.360779
0.810000, 2.360739
0.820000, 2.360747
0.830000, 2.360730
0.839999, 2.360712
0.849999, 2.360650
0.859999, 2.360611
0.869999, 2.360620
0.879999, 2.360652
0.889999, 2.360677
0.899999, 2.360643
0.909999, 2.360620
0.919999, 2.360631
0.929999, 2.360650
0.939999, 2.360685
0.949999, 2.360683
0.959999, 2.360690
0.969999, 2.360672
0.979999, 2.360693
0.989999, 2.360711
0.999999, 2.360688
1.009999, 2.360600
1.019999, 2.360542
1.029999, 2.360559
1.039999, 2.360555
1.049999, 2.360553
1.059999, 2.360538
1.069999, 2.360466
1.079999, 2.360465
1.089999, 2.360463
1.099999, 2.360432
1.109999, 2.360384
1.119999, 2.360385
1.129999, 2.360428
1.139999, 2.360410
1.149999, 2.360433
1.159999, 2.360431
1.169999, 2.360380
1.179999, 2.360345
1.189999, 2.360392
1.199999, 2.360404
1.209999, 2.360401
1.219999, 2.360394
1.229999, 2.360402
1.239999, 2.360385
1.249999, 2.360384
1.259999, 2.360373
1.269999, 2.360327
1.279999, 2.360333
1.289999, 2.360348
1.299999, 2.360336
1.309999, 2.360317
1.319999, 2.360328
1.329999, 2.360326
1.339999, 2.360337
1.349999, 2.360302
1.359999, 2.360262
1.369999, 2.360230
1.379999, 2.360229
1.389999, 2.360221
1.399999, 2.360239
1.409999, 2.360231
1.419999, 2.360245
1.429999, 2.360194
1.439999, 2.360166
1.449999, 2.360125
1.459999, 2.360108
1.469999, 2.360082
1.479999, 2.360054
1.489999, 2.360029
1.499999, 2.360039
1.509999, 2.360064
1.519999, 2.360072
1.529999, 2.360038
1.539999, 2.360047
1.549999, 2.360037
1.559999, 2.360025
1.569999, 2.360002
1.579999, 2.360058
1.589999, 2.360101
1.599999, 2.360137
1.609999, 2.360147
1.619999, 2.360106
1.629999, 2.360126
1.639999, 2.360109
1.649999, 2.360101
1.659999, 2.360101
1.669999, 2.360105
1.679999, 2.360094
1.689999, 2.360136
1.699999, 2.360093
1.709999, 2.360109
1.719999, 2.360111
1.729999, 2.360042
1.739999, 2.360061
1.749999, 2.360026
1.759999, 2.360002
1.769999, 2.359962
1.779999, 2.359965
1.789999, 2.359979
1.799999, 2.360034
1.809999, 2.359991
1.819999, 2.359994
1.829999, 2.360006
1.839999, 2.360043
1.849999, 2.360045
1.859999, 2.360047
1.869999, 2.360025
1.879999, 2.360020
1.889999, 2.360050
1.899999, 2.360062
1.909999, 2.360053
1.919999, 2.360068
1.929999, 2.360048
1.939999, 2.360049
1.949998, 2.360059
1.959998, 2.360035
1.969998, 2.360064
1.979998, 2.360070
1.989998, 2.360081
1.999998, 2.360061
2.009999, 2.360042
2.019999, 2.360065
2.029999, 2.360058
2.039999, 2.360050
2.049999, 2.360018
2.059999, 2.359944
2.069999, 2.359985
2.079998, 2.360049
2.089998, 2.360035
2.099998, 2.360040
2.109998, 2.360021
2.119998, 2.359987
2.129998, 2.360008
2.139998, 2.360010
2.149998, 2.359975
2.159998, 2.359964
2.169998, 2.359967
2.179998, 2.359961
2.189998, 2.359965
2.199998, 2.359940
2.209998, 2.359889
2.219998, 2.359868
2.229998, 2.359955
2.239998, 2.359973
2.249998, 2.359989
2.259998, 2.359996
2.269998, 2.360023
2.279998, 2.360033
2.289998, 2.360050
2.299998, 2.360044
2.309998, 2.359971
2.319998, 2.359967
2.329998, 2.360006
2.339998, 2.360005
2.349998, 2.359941
2.359998, 2.359906
2.369998, 2.359888
2.379998, 2.359905
2.389998, 2.359901
2.399998, 2.359860
2.409998, 2.359803
2.419998, 2.359816
2.429998, 2.359838
2.439998, 2.359805
2.449998, 2.359756
2.459998, 2.359739
2.469998, 2.359718
2.479998, 2.359735
2.489998, 2.359718
2.499998, 2.359711
2.509998, 2.359708
2.519998, 2.359712
2.529998, 2.359782
2.539998, 2.359783
2.549998, 2.359782
2.559998, 2.359771
2.569998, 2.359786
2.579998, 2.359819
2.589998, 2.359787
2.599998, 2.359745
2.609998, 2.359700
2.619998, 2.359719
2.629998, 2.359734
2.639998, 2.359718
2.649998, 2.359698
2.659998, 2.359642
2.669998, 2.359619
2.679998, 2.359639
2.689998, 2.359669
2.699998, 2.359698
2.709998, 2.359659
2.719998, 2.359629
2.729998, 2.359635
2.739998, 2.359694
2.749998, 2.359681
2.759998, 2.359685
2.769998, 2.359705
2.779998, 2.359761
2.789998, 2.359729
2.799998, 2.359668
2.809998, 2.359665
2.819998, 2.359632
2.829998, 2.359646
2.839998, 2.359720
2.849998, 2.359636
2.859998, 2.359590
2.869998, 2.359643
2.879998, 2.359641
2.889998, 2.359675
2.899998, 2.359690
2.909998, 2.359623
2.919998, 2.359657
2.929998, 2.359671
2.939998, 2.359677
2.949998, 2.359699
2.959998, 2.359686
2.969998, 2.359733
2.979998, 2.359747
2.989998, 2.359707
2.999998, 2.359648
3.009998, 2.359738
3.019998, 2.359756
3.029998, 2.359802
3.039998, 2.359778
3.049998, 2.359805
3.059998, 2.359860
3.069998, 2.359798
3.079998, 2.359771
3.089998, 2.359806
3.099998, 2.359845
3.109998, 2.359847
3.119998, 2.359845
3.129997, 2.359825
3.139997, 2.359837
3.149997, 2.359823
3.159997, 2.359803
3.169997, 2.359872
3.179997, 2.359927
3.189997, 2.359916
3.199997, 2.359871
3.209997, 2.359859
3.219997, 2.359838
3.229997, 2.359852
3.239997, 2.359813
3.249997, 2.359848
3.259997, 2.359908
3.269997, 2.359848
3.279997, 2.359786
3.289997, 2.359812
3.299997, 2.359819
3.309997, 2.359792
3.319997, 2.359739
3.329997, 2.359809
3.339997, 2.359886
3.349997, 2.359918
3.359997, 2.359927
3.369997, 2.359919
3.379997, 2.359923
3.389997, 2.359950
3.399997, 2.359918
3.409997, 2.359958
3.419997, 2.359914
3.429997, 2.359944
3.439997, 2.359968
3.449997, 2.359936
3.459997, 2.359907
3.469997, 2.359910
3.479997, 2.359921
3.489997, 2.359869
3.499997, 2.359850
3.509997, 2.359877
3.519997, 2.359905
3.529997, 2.359863
3.539997, 2.359874
3.549997, 2.359880
3.559997, 2.359884
3.569997, 2.359870
3.579997, 2.359894
3.589997, 2.359892
3.599997, 2.359869
3.609997, 2.359855
3.619997, 2.359941
3.629997, 2.359886
3.639997, 2.359814
3.649997, 2.359843
3.659997, 2.359900
3.669997, 2.359915
3.679997, 2.359939
3.689997, 2.359907
3.699997, 2.359851
3.709997, 2.359873
3.719997, 2.359890
3.729997, 2.359826
3.739997, 2.359766
3.749997, 2.359777
3.759997, 2.359740
3.769997, 2.359704
3.779997, 2.359695
3.789997, 2.359703
3.799997, 2.359685
3.809997, 2.359681
3.819997, 2.359707
3.829997, 2.359723
3.839997, 2.359744
3.849997, 2.359733
3.859997, 2.359725
3.869997, 2.359781
3.879997, 2.359828
3.889997, 2.359869
3.899997, 2.359864
3.909997, 2.359862
3.919997, 2.359836
3.929997, 2.359855
3.939997, 2.359868
3.949997, 2.359849
3.959997, 2.359857
3.969997, 2.359842
3.979997, 2.359837
3.989997, 2.359880
3.999997, 2.359938
4.009997, 2.359926
4.019997, 2.359894
4.029997, 2.359861
4.039998, 2.359808
4.049998, 2.359895
4.059998, 2.359909
4.069998, 2.359927
4.079998, 2.359956
4.089999, 2.359872
4.099999, 2.359810
4.109999, 2.359854
4.119999, 2.359864
4.130000, 2.359846
4.140000, 2.359869
4.150000, 2.359883
4.160000, 2.359804
4.170001, 2.359803
4.180001, 2.359788
4.190001, 2.359855
4.200001, 2.359895
4.210001, 2.359822
4.220002, 2.359864
4.230002, 2.359806
4.240002, 2.359751
4.250002, 2.359790
4.260003, 2.359851
4.270003, 2.359863
4.280003, 2.359895
4.290003, 2.359860
4.300004, 2.359852
4.310004, 2.359811
4.320004, 2.359748
4.330004, 2.359766
4.340004, 2.359786
4.350005, 2.359775
4.360005, 2.359787
4.370005, 2.359789
4.380005, 2.359810
4.390006, 2.359793
4.400006, 2.359699
4.410006, 2.359756
4.420006, 2.359797
4.430007, 2.359855
4.440007, 2.359896
4.450007, 2.359827
4.460007, 2.359856
4.470007, 2.359825
4.480008, 2.359764
4.490008, 2.359775
4.500008, 2.359735
4.510008, 2.359786
4.520009, 2.359800
4.530009, 2.359800
4.540009, 2.359837
4.550009, 2.359838
4.560009, 2.359833
4.570010, 2.359756
4.580010, 2.359733
4.590010, 2.359727
4.600010, 2.359653
4.610011, 2.359717
4.620011, 2.359715
4.630011, 2.359757
4.640011, 2.359776
4.650012, 2.359802
4.660012, 2.359867
4.670012, 2.359878
4.680012, 2.359876
4.690012, 2.359838
4.700013, 2.359821
4.710013, 2.359844
4.720013, 2.359802
4.730013, 2.359841
4.740014, 2.359843
4.750014, 2.359877
4.760014, 2.359878
4.770014, 2.359851
4.780015, 2.359879
4.790015, 2.359793
4.800015, 2.359841
4.810015, 2.359771
4.820015, 2.359776
4.830016, 2.359751
4.840016, 2.359756
4.850016, 2.359757
4.860016, 2.359697
4.870017, 2.359731
4.880017, 2.359703
4.890017, 2.359738
4.900017, 2.359711
4.910017, 2.359755
4.920018, 2.359800
4.930018, 2.359834
4.940018, 2.359924
4.950018, 2.359856
4.960019, 2.359859
4.970019, 2.359829
4.980019, 2.359853
4.990019, 2.359835
5.000020, 2.359888
5.010020, 2.359790
5.020020, 2.359737
5.030020, 2.359722
5.040020, 2.359683
5.050021, 2.359653
5.060021, 2.359586
5.070021, 2.359582
5.080021, 2.359519
5.090022, 2.359562
5.100022, 2.359516
5.110022, 2.359638
5.120022, 2.359698
5.130023, 2.359712
5.140023, 2.359720
5.150023, 2.359748
5.160023, 2.359796
5.170023, 2.359799
5.180024, 2.359840
5.190024, 2.359910
5.200024, 2.360014
5.210024, 2.359905
5.220025, 2.359817
5.230025, 2.359836
5.240025, 2.359946
5.250025, 2.359869
5.260026, 2.359818
5.270026, 2.359765
5.280026, 2.359786
5.290026, 2.359713
5.300026, 2.359673
5.310027, 2.359704
5.320027, 2.359657
5.330027, 2.359555
5.340027, 2.359529
5.350028, 2.359553
5.360028, 2.359486
5.370028, 2.359394
5.380028, 2.359324
5.390028, 2.359322
5.400029, 2.359300
5.410029, 2.359256
5.420029, 2.359203
5.430029, 2.359158
5.440030, 2.359069
5.450030, 2.359028
5.460030, 2.359015
5.470030, 2.358935
5.480031, 2.358857
5.490031, 2.358794
5.500031, 2.358758
5.510031, 2.358741
5.520031, 2.358705
5.530032, 2.358625
5.540032, 2.358589
5.550032, 2.358583
5.560032, 2.358543
5.570033, 2.358479
5.580033, 2.358464
5.590033, 2.358365
5.600033, 2.358353
5.610034, 2.358290
5.620034, 2.358301
5.630034, 2.358231
5.640034, 2.358236
5.650034, 2.358164
5.660035, 2.358176
5.670035, 2.358191
5.680035, 2.358258
5.690035, 2.358289
5.700036, 2.358422
5.710036, 2.358445
5.720036, 2.358487
5.730036, 2.358487
5.740036, 2.358503
5.750037, 2.358492
5.760037, 2.358540
5.770037, 2.358568
5.780037, 2.358567
5.790038, 2.358603
5.800038, 2.358587
5.810038, 2.358633
5.820038, 2.358600
5.830039, 2.358646
5.840039, 2.358601
5.850039, 2.358553
5.860039, 2.358516
5.870039, 2.358497
5.880040, 2.358463
5.890040, 2.358428
5.900040, 2.358431
5.910040, 2.358353
