t, ur
0.000000, -0.039917
0.020000, -0.551636
0.030000, -0.040527
0.040000, -0.552124
0.050000, -0.551392
0.060000, -0.551636
0.070000, -0.040771
0.080000, -0.551636
0.090000, -0.552124
0.100000, -0.551880
0.110000, -0.041260
0.120000, -0.040771
0.130000, -0.039917
0.140000, -0.040771
0.150000, -0.551025
0.160000, -0.551392
0.170000, -1.062744
0.180000, -0.551880
0.190000, -0.552368
0.200000, -0.552124
0.210000, -0.039917
0.220000, -0.551636
0.230000, 0.470459
0.240000, -0.040771
0.250000, -1.062988
0.260000, -0.551636
0.270000, -0.552368
0.280000, -0.551880
0.300000, -0.041016
0.310000, -0.552368
0.320000, -0.040771
0.330000, -0.551025
0.340000, -0.552124
0.350000, -0.552368
0.360000, -0.552124
0.370000, -0.551636
0.380000, -0.551636
0.390000, -0.551880
0.400000, -0.551392
0.410000, -0.552124
0.420000, -0.552368
0.430000, -0.551636
0.440000, -0.552368
0.450000, -1.062988
0.460000, 0.470215
0.470000, -0.040527
0.480000, -0.041016
0.490000, -0.041260
0.500000, 0.470215
0.510000, -0.040527
0.520000, 0.470703
0.530000, -0.040527
0.540000, -0.039673
0.550000, -0.041016
0.560000, -0.040527
0.570000, -0.040771
0.580000, 0.981812
0.590000, -0.552612
0.600000, 0.470215
0.610000, -0.040283
0.620000, 0.470703
0.630000, -0.040527
0.640000, 0.981812
0.650000, -0.040527
0.660000, -0.039917
0.670000, -0.040771
0.680000, -0.551392
0.690000, -0.551025
0.700000, -0.040771
0.710000, -0.040527
0.720000, 0.469971
0.730000, -0.041016
0.740000, 0.470459
0.750000, -0.039917
0.760000, 0.470215
0.770000, -0.040771
0.780000, 0.469727
0.790000, -0.552124
0.800000, -0.041260
0.810000, -0.041016
0.820000, 0.469971
0.830000, -0.040283
0.839999, 0.470215
0.849999, -0.040527
0.859999, 0.469971
0.869999, -0.551636
0.879999, 0.981812
0.889999, -0.552124
0.899999, -0.041016
0.909999, -0.551880
0.919999, 0.470459
0.929999, -0.040527
0.939999, 0.469971
0.949999, -0.040527
0.959999, 0.470703
0.969999, -0.040527
0.979999, 0.470703
0.989999, -0.040283
0.999999, 0.469971
1.009999, -0.041016
1.019999, -0.041016
1.029999, -0.040527
1.039999, 0.469971
1.049999, 0.470215
1.059999, 0.469971
1.069999, -0.552124
1.079999, 0.470459
1.089999, -0.551392
1.099999, 0.982422
1.109999, -0.041016
1.119999, -0.040771
1.129999, -0.040771
1.139999, 0.470459
1.149999, -0.041016
1.159999, 0.470459
1.169999, -0.040527
1.179999, 0.470459
1.189999, -0.551636
1.199999, 0.471069
1.209999, -0.040527
1.219999, -0.040771
1.229999, -0.551880
1.239999, 0.470459
1.249999, -0.039917
1.259999, 0.470459
1.269999, -0.551880
1.279999, -0.039917
1.289999, -0.041016
1.299999, -0.040771
1.309999, -0.551025
1.319999, 0.470703
1.329999, -0.039917
1.339999, 0.470703
