t, uk
0.000000, -0.006755
0.020000, -0.012345
0.030000, -0.015273
0.040000, -0.013676
0.050000, -0.015273
0.060000, -0.013410
0.070000, -0.015539
0.080000, -0.016604
0.090000, -0.016870
0.100000, -0.017669
0.110000, -0.017935
0.120000, -0.023525
0.130000, -0.026719
0.140000, -0.032309
0.150000, -0.034438
0.160000, -0.045352
0.170000, -0.048014
0.180000, -0.054402
0.190000, -0.056797
0.200000, -0.064783
0.210000, -0.068243
0.220000, -0.078624
0.230000, -0.084480
0.240000, -0.095394
0.250000, -0.096725
0.260000, -0.108969
0.270000, -0.113228
0.280000, -0.126537
0.300000, -0.132393
0.310000, -0.144371
0.320000, -0.148098
0.330000, -0.159277
0.340000, -0.166198
0.350000, -0.178442
0.360000, -0.183766
0.370000, -0.194147
0.380000, -0.197341
0.390000, -0.207190
0.400000, -0.209852
0.410000, -0.220499
0.420000, -0.220233
0.430000, -0.228750
0.440000, -0.229549
0.450000, -0.237801
0.460000, -0.235139
0.470000, -0.239398
0.480000, -0.239398
0.490000, -0.241527
0.500000, -0.240995
0.510000, -0.238599
0.520000, -0.237534
0.530000, -0.231146
0.540000, -0.231146
0.550000, -0.224225
0.560000, -0.219434
0.570000, -0.209852
0.580000, -0.202665
0.590000, -0.189622
0.600000, -0.182701
0.610000, -0.168594
0.620000, -0.161407
0.630000, -0.140645
0.640000, -0.129731
0.650000, -0.112962
0.660000, -0.099386
0.670000, -0.075430
0.680000, -0.066646
0.690000, -0.040560
0.700000, -0.025921
0.710000, -0.002497
0.720000, 0.010812
0.730000, 0.042754
0.740000, 0.055797
0.750000, 0.079753
0.760000, 0.089602
0.770000, 0.120213
0.780000, 0.127400
0.790000, 0.158809
0.800000, 0.167061
0.810000, 0.194211
0.820000, 0.201398
0.830000, 0.234671
0.839999, 0.241858
0.849999, 0.271936
0.859999, 0.278857
0.869999, 0.303345
0.879999, 0.309734
0.889999, 0.332093
0.899999, 0.338747
0.909999, 0.358711
0.919999, 0.364567
0.929999, 0.381336
0.939999, 0.385063
0.949999, 0.403962
0.959999, 0.407156
0.969999, 0.420997
0.979999, 0.423659
0.989999, 0.432976
0.999999, 0.435371
1.009999, 0.442026
1.019999, 0.443090
1.029999, 0.444954
1.039999, 0.444954
1.049999, 0.444155
1.059999, 0.444954
1.069999, 0.440429
1.079999, 0.439630
1.089999, 0.431645
1.099999, 0.430048
1.109999, 0.418069
1.119999, 0.415141
1.129999, 0.398106
1.139999, 0.394379
1.149999, 0.376811
1.159999, 0.372286
1.169999, 0.350459
1.179999, 0.345136
1.189999, 0.321712
1.199999, 0.313726
1.209999, 0.282849
1.219999, 0.275929
1.229999, 0.241059
1.239999, 0.232541
1.249999, 0.200600
1.259999, 0.192614
1.269999, 0.157212
1.279999, 0.148162
1.289999, 0.114357
1.299999, 0.103177
1.309999, 0.067509
1.319999, 0.057394
1.329999, 0.015604
1.339999, 0.006287
1.349999, -0.035769
1.359999, -0.044819
1.369999, -0.081819
1.379999, -0.090869
1.389999, -0.127602
1.399999, -0.135055
1.409999, -0.168061
1.419999, -0.180039
1.429999, -0.207456
1.439999, -0.222894
1.449999, -0.250843
1.459999, -0.259361
1.469999, -0.285447
1.479999, -0.291037
1.489999, -0.313396
1.499999, -0.319518
1.509999, -0.341079
1.519999, -0.348798
1.529999, -0.363970
1.539999, -0.370625
1.549999, -0.382869
1.559999, -0.387927
1.569999, -0.399106
1.579999, -0.401768
1.589999, -0.412149
1.599999, -0.412149
1.609999, -0.417473
1.619999, -0.416408
1.629999, -0.418271
1.639999, -0.418005
1.649999, -0.413746
1.659999, -0.412149
1.669999, -0.406826
1.679999, -0.404430
1.689999, -0.395114
1.699999, -0.391653
1.709999, -0.374618
1.719999, -0.369560
1.729999, -0.353323
1.739999, -0.346935
1.749999, -0.327504
1.759999, -0.321648
1.769999, -0.296893
1.779999, -0.291303
1.789999, -0.265483
1.799999, -0.254836
1.809999, -0.225290
1.819999, -0.214110
1.829999, -0.182701
1.839999, -0.174450
1.849999, -0.143573
1.859999, -0.135321
1.869999, -0.102847
1.879999, -0.095128
1.889999, -0.063718
1.899999, -0.049877
1.909999, -0.018734
1.919999, -0.005691
1.929999, 0.026517
1.939999, 0.035301
1.949998, 0.064049
1.959998, 0.070969
1.969998, 0.101580
1.979998, 0.108501
1.989998, 0.135119
1.999998, 0.149227
2.009999, 0.173981
2.019999, 0.180370
2.029999, 0.201398
2.039999, 0.208851
2.049999, 0.226951
2.059999, 0.232009
2.069999, 0.251440
2.079998, 0.255433
2.089998, 0.274065
2.099998, 0.279123
2.109998, 0.294561
2.119998, 0.297756
2.129998, 0.308935
2.139998, 0.310798
2.149998, 0.321446
2.159998, 0.321712
2.169998, 0.328100
2.179998, 0.330496
2.189998, 0.335553
2.199998, 0.335287
2.209998, 0.336618
2.219998, 0.336352
2.229998, 0.333158
2.239998, 0.333424
2.249998, 0.329165
2.259998, 0.327302
2.269998, 0.320115
2.279998, 0.316654
2.289998, 0.307870
2.299998, 0.303612
2.309998, 0.293231
2.319998, 0.289770
2.329998, 0.275130
2.339998, 0.272202
2.349998, 0.257562
2.359998, 0.253037
2.369998, 0.233606
2.379998, 0.226685
2.389998, 0.207254
2.399998, 0.202197
2.409998, 0.183564
2.419998, 0.178773
2.429998, 0.157212
2.439998, 0.151622
2.449998, 0.130062
2.459998, 0.123673
