t, phi
0.000000, -0.015662
0.020000, -0.014004
0.030000, -0.010937
0.040000, -0.026953
0.050000, -0.006953
0.060000, -0.025289
0.070000, -0.022069
0.080000, -0.023740
0.090000, -0.021590
0.100000, -0.019564
0.110000, -0.016205
0.120000, -0.021743
0.130000, -0.022484
0.140000, -0.029519
0.150000, -0.026553
0.160000, -0.018091
0.170000, -0.023326
0.180000, -0.017044
0.190000, -0.012287
0.200000, -0.016117
0.210000, -0.018649
0.220000, -0.018036
0.230000, -0.013100
0.240000, -0.020945
0.250000, -0.017939
0.260000, -0.027035
0.270000, -0.019493
0.280000, -0.021415
0.300000, -0.012759
0.310000, -0.019634
0.320000, -0.011296
0.330000, -0.017775
0.340000, -0.018313
0.350000, -0.012767
0.360000, -0.025129
0.370000, -0.020936
0.380000, -0.020305
0.390000, -0.008376
0.400000, -0.017979
0.410000, -0.023258
0.420000, -0.008874
0.430000, -0.018144
0.440000, -0.018996
0.450000, -0.028560
0.460000, -0.013023
0.470000, -0.015631
0.480000, -0.025845
0.490000, -0.022592
0.500000, -0.015989
0.510000, -0.024736
0.520000, -0.027716
0.530000, -0.021816
0.540000, -0.025147
0.550000, -0.015766
0.560000, -0.017954
0.570000, -0.015008
0.580000, -0.020504
0.590000, -0.005602
0.600000, -0.013251
0.610000, -0.018402
0.620000, -0.011807
0.630000, -0.028921
0.640000, -0.016535
0.650000, -0.019886
0.660000, -0.017613
0.670000, -0.016410
0.680000, -0.019005
0.690000, -0.025185
0.700000, -0.037564
0.710000, -0.019172
0.720000, -0.024490
0.730000, -0.010381
0.740000, -0.022018
0.750000, -0.021222
0.760000, -0.017974
0.770000, -0.010283
0.780000, -0.011679
0.790000, -0.024784
0.800000, -0.018021
0.810000, -0.012378
0.820000, -0.018589
0.830000, -0.029251
0.839999, -0.031798
0.849999, -0.015584
0.859999, -0.009876
0.869999, -0.025885
0.879999, -0.020078
0.889999, -0.015261
0.899999, -0.007216
0.909999, -0.021713
0.919999, -0.014967
0.929999, -0.012508
0.939999, -0.015417
0.949999, -0.014415
0.959999, -0.022891
0.969999, -0.024222
0.979999, -0.013942
0.989999, -0.021933
0.999999, -0.014814
1.009999, -0.015258
1.019999, -0.022715
1.029999, -0.008493
1.039999, -0.007661
1.049999, -0.017842
1.059999, -0.014729
1.069999, -0.017616
1.079999, -0.023237
1.089999, -0.019980
1.099999, -0.005407
1.109999, -0.012268
1.119999, -0.018019
1.129999, -0.012035
1.139999, -0.021767
1.149999, -0.019684
1.159999, -0.016487
1.169999, -0.028650
1.179999, -0.020760
1.189999, -0.020441
1.199999, -0.013240
1.209999, -0.020819
1.219999, -0.012965
1.229999, -0.025918
1.239999, -0.018091
1.249999, -0.014518
1.259999, -0.011696
1.269999, -0.032953
1.279999, -0.024064
1.289999, -0.015780
1.299999, -0.016404
1.309999, -0.022473
1.319999, -0.016888
1.329999, -0.027142
1.339999, -0.023123
1.349999, -0.004635
1.359999, -0.019608
1.369999, -0.023325
1.379999, -0.021431
1.389999, -0.022369
1.399999, -0.018937
1.409999, -0.008999
1.419999, -0.017856
1.429999, -0.007311
1.439999, -0.015868
1.449999, -0.015727
1.459999, -0.011958
1.469999, -0.015275
1.479999, -0.019029
1.489999, -0.017728
1.499999, -0.015936
1.509999, -0.005789
1.519999, -0.016481
1.529999, -0.016894
1.539999, -0.022582
1.549999, -0.014900
1.559999, -0.018485
1.569999, -0.021244
1.579999, -0.014386
1.589999, -0.025574
1.599999, -0.021082
1.609999, -0.014675
1.619999, -0.011735
1.629999, -0.013838
1.639999, -0.015239
1.649999, -0.017421
1.659999, -0.016415
1.669999, -0.016646
1.679999, -0.009019
1.689999, -0.025379
1.699999, -0.022638
1.709999, -0.014838
1.719999, -0.028913
1.729999, -0.021561
1.739999, -0.009963
1.749999, -0.013483
1.759999, -0.026876
1.769999, -0.016682
1.779999, -0.021122
1.789999, -0.022039
1.799999, -0.014495
1.809999, -0.013035
1.819999, -0.011191
1.829999, -0.018336
1.839999, -0.015359
1.849999, -0.020374
1.859999, -0.015557
1.869999, -0.011438
1.879999, -0.018674
1.889999, -0.014055
1.899999, -0.015422
1.909999, -0.019086
1.919999, -0.021444
1.929999, -0.012004
1.939999, -0.010714
1.949998, -0.013843
1.959998, -0.013529
1.969998, -0.012616
1.979998, -0.008935
1.989998, -0.022337
1.999998, -0.027362
2.009999, -0.011996
2.019999, -0.016412
2.029999, -0.029194
2.039999, -0.013235
