t, ur
0.000000, -1040.039917
0.020000, -1039.529419
0.030000, -1040.039551
0.040000, -1040.039551
0.050000, -1039.529419
0.060000, -1039.528564
0.070000, -1039.529419
0.080000, -1039.529175
0.090000, -1039.529907
0.100000, -1039.529663
0.110000, -1038.506958
0.120000, -1039.529175
0.130000, -1039.529175
0.140000, -1039.528931
0.150000, -1040.039551
0.160000, -1040.040405
0.170000, -1039.529419
0.180000, -1039.528931
0.190000, -1040.040161
0.200000, -1039.528564
0.210000, -1039.530151
0.220000, -1040.040161
0.230000, -1039.529663
0.240000, -1039.528931
0.250000, -1039.528931
0.260000, -1039.529419
0.270000, -1039.530518
0.280000, -1039.529907
0.300000, -1040.040405
0.310000, -1039.529175
0.320000, -1040.040649
0.330000, -1039.529419
0.340000, -1039.529907
0.350000, -1039.528931
0.360000, -1039.529419
0.370000, -1039.529175
0.380000, -1039.529907
0.390000, -1040.040894
0.400000, -1040.040405
0.410000, -1039.529175
0.420000, -1040.040405
0.430000, -1039.529907
0.440000, -1039.529663
0.450000, -1040.040161
0.460000, -1040.040405
0.470000, -1039.530151
0.480000, -1039.529907
0.490000, -1039.528931
0.500000, -1039.528931
0.510000, -1040.040405
0.520000, -1040.040405
0.530000, -1040.040405
0.540000, -1039.528931
0.550000, -1039.528931
0.560000, -1039.529175
0.570000, -1040.040161
0.580000, -1040.039551
0.590000, -1040.040161
0.600000, -1040.039917
0.610000, -1039.530151
0.620000, -1039.529419
0.630000, -1039.529419
0.640000, -1040.040161
0.650000, -1039.529419
0.660000, -1040.040161
0.670000, -1039.529175
0.680000, -1039.529175
0.690000, -1040.040405
0.700000, -1039.529663
0.710000, -1040.040649
0.720000, -1040.040649
0.730000, -1039.529175
0.740000, -1039.528931
0.750000, -1039.529663
0.760000, -1039.528931
0.770000, -1039.529663
0.780000, -1039.528931
0.790000, -1039.529419
0.800000, -1040.551025
0.810000, -1039.528564
0.820000, -1039.528931
0.830000, -1039.529175
0.839999, -1039.529175
0.849999, -1039.529175
0.859999, -1039.529419
0.869999, -1040.040161
0.879999, -1040.040405
0.889999, -1040.040405
0.899999, -1040.550659
0.909999, -1040.040405
0.919999, -1040.040649
0.929999, -1040.040405
0.939999, -1039.529663
0.949999, -1040.040649
0.959999, -1040.040405
0.969999, -1039.528931
0.979999, -1040.040405
0.989999, -1039.528931
0.999999, -1040.040161
1.009999, -1040.039307
1.019999, -1039.528931
1.029999, -1040.040649
1.039999, -1040.040161
1.049999, -1040.040649
1.059999, -1040.040649
1.069999, -1040.040649
1.079999, -1039.529419
1.089999, -1039.529419
1.099999, -1040.040894
1.109999, -1040.040161
1.119999, -1040.040649
1.129999, -1039.529907
1.139999, -1039.529175
1.149999, -1039.529175
1.159999, -1039.529175
1.169999, -1039.529175
1.179999, -1036.462769
1.189999, -1040.040405
1.199999, -1040.040161
1.209999, -1040.040405
1.219999, -1040.040161
1.229999, -1039.529419
1.239999, -1039.529419
1.249999, -1039.528931
1.259999, -1039.528564
1.269999, -1040.039551
1.279999, -1039.529175
1.289999, -1039.529175
1.299999, -1039.529175
1.309999, -1039.529175
1.319999, -1039.528931
1.329999, -1039.529663
1.339999, -1039.529419
1.349999, -1040.040161
1.359999, -1039.529663
1.369999, -1040.040161
1.379999, -1039.529175
1.389999, -1039.528931
1.399999, -1039.529419
1.409999, -1039.529175
1.419999, -1039.528564
1.429999, -1039.529175
1.439999, -1039.529419
1.449999, -1039.529419
1.459999, -1040.040649
1.469999, -1039.529907
1.479999, -1039.529175
1.489999, -1040.040649
1.499999, -1040.040161
1.509999, -1039.529419
1.519999, -1039.529663
1.529999, -1039.529419
1.539999, -1034.929565
1.549999, -1039.529419
1.559999, -1040.040405
1.569999, -1039.529907
1.579999, -1040.039551
1.589999, -1039.529663
1.599999, -1040.040649
1.609999, -1039.529175
1.619999, -1039.529419
1.629999, -1039.529419
1.639999, -1039.528931
1.649999, -1039.528931
1.659999, -1040.040649
1.669999, -1039.528931
1.679999, -1039.528320
1.689999, -1040.041138
1.699999, -1039.018555
1.709999, -1040.040161
1.719999, -1039.529419
1.729999, -1039.528931
1.739999, -1040.040894
1.749999, -1040.551270
1.759999, -1040.041138
1.769999, -1040.040894
1.779999, -1040.040894
1.789999, -1039.530151
1.799999, -1040.041504
1.809999, -1039.529419
1.819999, -1039.529419
1.829999, -1040.041138
1.839999, -1039.529907
1.849999, -1039.528931
1.859999, -1039.528564
1.869999, -1040.040161
1.879999, -1040.040161
1.889999, -1039.529907
1.899999, -1040.040649
1.909999, -1040.040405
1.919999, -1040.040405
1.929999, -1040.040161
1.939999, -1039.529175
1.949998, -1039.529419
1.959998, -1040.040405
1.969998, -1039.529419
1.979998, -1039.018555
1.989998, -1040.039551
1.999998, -1040.040161
2.009999, -1039.529175
2.019999, -1040.040161
2.029999, -1040.040161
2.039999, -1039.527832
2.049999, -1039.529663
2.059999, -1040.039551
2.069999, -1040.040405
2.079998, -1039.529175
2.089998, -1039.529175
2.099998, -1040.040649
2.109998, -1039.529663
2.119998, -1040.039551
2.129998, -1039.529419
2.139998, -1039.529419
2.149998, -1039.529175
2.159998, -1040.551270
2.169998, -1039.529663
2.179998, -1040.039917
2.189998, -1039.528931
2.199998, -1042.084717
2.209998, -1039.528931
2.219998, -1039.529419
2.229998, -1040.551758
2.239998, -1039.018311
2.249998, -1039.530762
2.259998, -1039.019043
2.269998, -1040.040405
2.279998, -1040.040161
2.289998, -1039.529907
2.299998, -1040.039917
2.309998, -1040.040161
2.319998, -1039.529175
2.329998, -1040.039917
2.339998, -1039.529175
2.349998, -1039.529419
2.359998, -1039.529419
2.369998, -1039.529175
2.379998, -1040.039917
2.389998, -1039.529419
2.399998, -1040.040161
2.409998, -1040.039917
2.419998, -1039.529419
2.429998, -1040.040649
2.439998, -1039.529663
2.449998, -1039.529175
2.459998, -1039.018066
2.469998, -1039.528931
2.479998, -1039.529175
2.489998, -1040.039917
2.499998, -1040.039917
2.509998, -1040.039917
2.519998, -1039.017212
2.529998, -1039.529663
2.539998, -1040.040405
2.549998, -1040.039551
2.559998, -1040.040405
2.569998, -1039.529907
2.579998, -1040.041504
2.589998, -1039.529419
2.599998, -1039.529419
