t, phi
0.000000, -0.001325
0.020000, -0.009408
0.030000, -0.008007
0.040000, -0.007272
0.050000, -0.001541
0.060000, -0.011774
0.070000, -0.001326
0.080000, -0.015652
0.090000, -0.001989
0.100000, -0.006900
0.110000, -0.009292
0.120000, -0.008242
0.130000, -0.016254
0.140000, -0.020828
0.150000, -0.000957
0.160000, -0.006906
0.170000, -0.016661
0.180000, -0.006180
0.190000, -0.008231
0.200000, -0.016152
0.210000, -0.015408
0.220000, -0.018415
0.230000, -0.014169
0.240000, -0.010398
0.250000, -0.007503
0.260000, -0.006150
0.270000, -0.010374
0.280000, -0.008057
0.300000, -0.005329
0.310000, -0.007601
0.320000, -0.012270
0.330000, -0.003925
0.340000, -0.005041
0.350000, -0.007308
0.360000, -0.011005
0.370000, -0.016022
0.380000, -0.014113
0.390000, 0.002240
0.400000, -0.005594
0.410000, -0.000847
0.420000, -0.011698
0.430000, -0.013973
0.440000, -0.004988
0.450000, -0.013560
0.460000, -0.007448
0.470000, -0.007580
0.480000, -0.009384
0.490000, -0.007499
0.500000, -0.008557
0.510000, -0.014781
0.520000, 0.003161
0.530000, -0.006329
0.540000, -0.005844
0.550000, -0.013586
0.560000, -0.019374
0.570000, -0.003906
0.580000, -0.009788
0.590000, -0.001936
0.600000, -0.010369
0.610000, -0.003233
0.620000, -0.003243
0.630000, -0.014649
0.640000, -0.007115
0.650000, -0.011607
0.660000, -0.011073
0.670000, -0.012640
0.680000, -0.008453
0.690000, -0.011191
0.700000, 0.000137
0.710000, -0.017680
0.720000, -0.016523
0.730000, -0.007634
0.740000, -0.004983
0.750000, -0.002010
0.760000, -0.017392
0.770000, -0.012748
0.780000, -0.006549
0.790000, -0.013619
0.800000, -0.010876
0.810000, -0.011332
0.820000, -0.014000
0.830000, -0.006839
0.839999, -0.003777
0.849999, -0.007938
0.859999, -0.011321
0.869999, -0.013323
0.879999, -0.022784
0.889999, -0.011419
0.899999, -0.011463
0.909999, -0.013564
0.919999, -0.009684
0.929999, -0.012471
0.939999, -0.009578
0.949999, -0.004730
0.959999, -0.012650
0.969999, -0.017112
0.979999, -0.015601
0.989999, -0.004686
0.999999, -0.014152
1.009999, -0.007111
1.019999, -0.010196
1.029999, -0.018946
1.039999, -0.014674
1.049999, -0.007153
1.059999, -0.007572
1.069999, -0.015998
1.079999, -0.016292
1.089999, -0.003016
1.099999, -0.007139
1.109999, -0.015524
1.119999, -0.011517
1.129999, 0.000688
1.139999, -0.011367
1.149999, -0.003870
1.159999, -0.012517
1.169999, -0.011747
1.179999, -0.016624
1.189999, -0.009295
1.199999, -0.012236
1.209999, -0.015131
1.219999, -0.008055
1.229999, -0.009359
1.239999, -0.001426
1.249999, -0.009170
1.259999, -0.018580
1.269999, -0.010195
1.279999, -0.012695
1.289999, -0.015139
1.299999, -0.011389
1.309999, -0.014709
1.319999, -0.008386
1.329999, -0.006649
1.339999, -0.014217
1.349999, -0.017613
1.359999, -0.014114
1.369999, -0.002356
1.379999, -0.012165
1.389999, -0.010243
1.399999, -0.011047
1.409999, -0.009163
1.419999, -0.008793
1.429999, -0.007614
1.439999, -0.012569
1.449999, -0.008140
1.459999, -0.005166
1.469999, 0.000356
1.479999, -0.003783
1.489999, -0.006838
1.499999, -0.004076
1.509999, -0.003385
1.519999, -0.010393
1.529999, -0.007864
1.539999, -0.008635
1.549999, -0.010511
1.559999, -0.004750
1.569999, -0.015778
1.579999, -0.003383
1.589999, -0.014509
1.599999, -0.006876
1.609999, -0.002501
1.619999, -0.009006
1.629999, -0.000969
1.639999, 0.001926
1.649999, -0.006196
1.659999, -0.013683
1.669999, 0.006162
1.679999, -0.008212
1.689999, -0.014136
1.699999, -0.010916
1.709999, -0.000284
1.719999, -0.004745
1.729999, -0.009149
1.739999, -0.004479
1.749999, -0.013611
1.759999, -0.015534
1.769999, -0.014992
1.779999, -0.009410
1.789999, -0.002829
1.799999, -0.007357
1.809999, -0.007180
1.819999, -0.007253
1.829999, -0.016887
1.839999, -0.012573
1.849999, -0.009645
1.859999, -0.014981
1.869999, -0.014250
1.879999, -0.018458
1.889999, -0.015107
1.899999, -0.009428
1.909999, -0.009115
1.919999, -0.001912
1.929999, -0.015183
1.939999, -0.009691
1.949998, -0.009417
1.959998, -0.012908
1.969998, -0.008279
1.979998, -0.006497
1.989998, -0.006893
1.999998, -0.014056
2.009999, -0.013563
2.019999, -0.001475
2.029999, -0.011795
2.039999, -0.004681
2.049999, -0.002596
2.059999, -0.002680
2.069999, -0.010009
2.079998, -0.005287
2.089998, -0.015514
2.099998, -0.020478
2.109998, -0.006606
2.119998, -0.014288
2.129998, -0.009974
2.139998, -0.009047
2.149998, -0.010863
2.159998, -0.005988
2.169998, -0.016985
2.179998, -0.016339
2.189998, -0.010006
2.199998, -0.011176
2.209998, 0.002123
2.219998, -0.003534
2.229998, -0.010491
2.239998, -0.010751
2.249998, -0.016056
2.259998, -0.020719
2.269998, -0.007278
2.279998, -0.001701
2.289998, -0.014047
2.299998, -0.011559
2.309998, -0.011788
2.319998, -0.013601
2.329998, -0.014891
2.339998, -0.002082
2.349998, -0.006606
2.359998, -0.015020
2.369998, -0.011802
2.379998, 0.002204
2.389998, -0.022114
2.399998, -0.013839
2.409998, -0.015759
2.419998, -0.010115
2.429998, -0.014251
2.439998, -0.008436
2.449998, -0.005524
2.459998, -0.007427
2.469998, -0.008162
2.479998, -0.009577
2.489998, -0.006616
2.499998, -0.009523
2.509998, -0.012293
2.519998, -0.002898
2.529998, -0.011093
2.539998, -0.019861
2.549998, -0.012142
2.559998, -0.013058
2.569998, -0.008269
2.579998, -0.000518
2.589998, -0.022536
2.599998, -0.016112
2.609998, -0.017067
2.619998, -0.003348
2.629998, -0.005003
2.639998, -0.007395
2.649998, -0.010491
2.659998, -0.012321
2.669998, -0.014715
2.679998, -0.012203
2.689998, -0.003157
2.699998, -0.008234
2.709998, -0.006936
2.719998, -0.008491
2.729998, -0.007657
2.739998, -0.012617
2.749998, -0.014549
2.759998, -0.007372
2.769998, -0.019259
2.779998, -0.010858
2.789998, -0.005658
2.799998, -0.002592
2.809998, -0.001709
2.819998, -0.005954
2.829998, -0.011543
2.839998, -0.013855
2.849998, -0.010787
2.859998, -0.007205
2.869998, -0.006471
2.879998, -0.009933
2.889998, -0.006689
2.899998, -0.002750
2.909998, -0.006334
2.919998, -0.013241
2.929998, -0.002539
2.939998, -0.012889
2.949998, -0.017188
2.959998, -0.014065
2.969998, -0.008470
2.979998, -0.004373
2.989998, -0.010057
2.999998, -0.015720
3.009998, -0.017045
3.019998, -0.010048
3.029998, -0.013362
3.039998, -0.007065
3.049998, -0.011881
3.059998, -0.012879
3.069998, -0.013489
3.079998, -0.014624
3.089998, -0.015971
3.099998, -0.005746
3.109998, -0.012142
3.119998, -0.015264
3.129997, -0.005037
3.139997, -0.010838
3.149997, -0.011001
3.159997, -0.009302
3.169997, -0.003367
3.179997, -0.006916
3.189997, -0.010449
3.199997, -0.002730
3.209997, -0.016683
3.219997, -0.012542
3.229997, -0.007402
3.239997, -0.006272
3.249997, -0.004564
3.259997, -0.012551
3.269997, -0.012851
3.279997, -0.020381
3.289997, -0.014614
3.299997, -0.016867
3.309997, -0.010956
3.319997, -0.009038
3.329997, -0.013366
3.339997, -0.001138
3.349997, -0.012898
3.359997, -0.005534
3.369997, -0.007861
3.379997, -0.010231
3.389997, -0.013509
3.399997, -0.010428
3.409997, -0.014586
3.419997, -0.014229
3.429997, -0.007717
3.439997, -0.011526
3.449997, -0.005095
3.459997, -0.011185
3.469997, -0.000435
3.479997, 0.000419
3.489997, -0.009021
3.499997, -0.007131
3.509997, -0.010803
3.519997, -0.009665
3.529997, -0.002780
3.539997, -0.004304
3.549997, -0.005502
3.559997, -0.001370
3.569997, -0.008292
3.579997, -0.009744
3.589997, -0.003792
3.599997, -0.007319
3.609997, -0.012069
3.619997, -0.012585
3.629997, -0.016577
3.639997, -0.002274
3.649997, 0.000566
3.659997, -0.013320
3.669997, -0.003352
3.679997, -0.003572
3.689997, -0.004938
3.699997, -0.012181
3.709997, -0.013165
3.719997, -0.007636
3.729997, -0.004368
3.739997, -0.010835
3.749997, -0.008689
3.759997, -0.002591
3.769997, -0.008478
3.779997, -0.010893
3.789997, -0.005019
3.799997, -0.012008
3.809997, -0.003149
3.819997, -0.008909
3.829997, -0.007344
3.839997, -0.003833
3.849997, -0.008086
3.859997, -0.004099
3.869997, -0.019073
3.879997, -0.011657
3.889997, -0.015763
3.899997, -0.003381
3.909997, -0.010854
3.919997, 0.000653
3.929997, -0.016666
3.939997, -0.010482
3.949997, -0.010015
3.959997, -0.007690
3.969997, -0.008550
3.979997, -0.014601
3.989997, -0.016774
3.999997, -0.002748
4.009997, -0.013080
4.019997, -0.004978
4.029997, -0.012806
4.039998, -0.006389
4.049998, -0.006201
4.059998, -0.016251
4.069998, -0.002775
4.079998, -0.013975
4.089999, -0.011425
4.099999, -0.013349
4.109999, -0.003483
4.119999, -0.006333
4.130000, -0.015444
4.140000, -0.007851
4.150000, -0.004764
4.160000, -0.003242
4.170001, -0.006129
4.180001, -0.009231
4.190001, -0.006378
4.200001, -0.011904
4.210001, -0.006648
4.220002, -0.015865
4.230002, -0.008938
4.240002, -0.017954
4.250002, -0.001509
4.260003, -0.003813
4.270003, -0.005171
4.280003, -0.005706
4.290003, -0.004986
4.300004, 0.007368
4.310004, -0.009384
4.320004, -0.005526
4.330004, -0.013235
4.340004, -0.014697
4.350005, -0.011738
4.360005, -0.012487
4.370005, -0.010688
4.380005, -0.003688
4.390006, -0.001298
4.400006, -0.008245
4.410006, -0.005943
4.420006, -0.004563
4.430007, -0.010100
4.440007, -0.011544
4.450007, -0.013952
4.460007, -0.005154
4.470007, -0.002298
4.480008, -0.014785
4.490008, -0.010265
4.500008, -0.013954
4.510008, -0.022051
4.520009, -0.008125
4.530009, -0.000210
4.540009, 0.004072
4.550009, -0.005621
4.560009, -0.017716
4.570010, -0.010910
4.580010, -0.007384
4.590010, -0.014125
4.600010, -0.010678
4.610011, -0.013905
4.620011, -0.000362
4.630011, -0.010427
4.640011, -0.019366
4.650012, -0.012026
4.660012, -0.016852
4.670012, -0.008144
4.680012, -0.005815
4.690012, -0.010247
4.700013, -0.003203
4.710013, -0.019071
4.720013, -0.013270
4.730013, -0.009538
4.740014, -0.009534
4.750014, -0.015127
4.760014, -0.011554
4.770014, -0.003864
4.780015, -0.008361
4.790015, -0.016060
4.800015, -0.015029
4.810015, -0.005526
4.820015, -0.016158
4.830016, -0.002177
4.840016, -0.014444
4.850016, -0.015250
4.860016, -0.006668
4.870017, -0.005590
4.880017, -0.012924
4.890017, -0.013917
4.900017, -0.011782
4.910017, -0.022011
4.920018, -0.012402
4.930018, -0.003107
4.940018, -0.011144
4.950018, -0.005733
4.960019, -0.011018
4.970019, -0.001673
4.980019, 0.009107
4.990019, -0.009283
5.000020, -0.008796
5.010020, -0.014141
5.020020, -0.013065
5.030020, -0.011105
5.040020, -0.013960
5.050021, -0.005855
5.060021, -0.011909
5.070021, -0.007163
5.080021, -0.015497
5.090022, -0.008559
5.100022, -0.018645
5.110022, -0.008792
5.120022, -0.019614
5.130023, -0.013382
5.140023, -0.018761
5.150023, -0.012907
5.160023, -0.009383
5.170023, -0.008631
5.180024, -0.009053
5.190024, -0.012696
5.200024, -0.007551
5.210024, -0.005945
5.220025, -0.012357
5.230025, -0.005612
5.240025, -0.012033
5.250025, -0.007156
5.260026, -0.010959
5.270026, -0.006846
5.280026, -0.014632
5.290026, -0.014807
5.300026, -0.013960
5.310027, -0.008689
5.320027, -0.014639
5.330027, -0.012206
5.340027, -0.016967
5.350028, -0.012085
5.360028, -0.006005
5.370028, -0.003721
5.380028, -0.015150
5.390028, -0.012688
5.400029, -0.001807
5.410029, -0.016870
5.420029, -0.016569
5.430029, -0.006488
5.440030, -0.011419
5.450030, -0.009347
5.460030, -0.012884
5.470030, -0.004502
5.480031, -0.009848
5.490031, -0.003821
5.500031, -0.011822
5.510031, -0.003475
5.520031, -0.015360
5.530032, -0.005300
5.540032, -0.011413
5.550032, -0.003266
5.560032, -0.019174
5.570033, -0.005184
5.580033, -0.015910
5.590033, -0.009774
5.600033, -0.017641
5.610034, -0.004758
