t, ur
0.000000, -1034.930298
0.020000, -1035.953003
0.030000, -1035.952637
0.040000, -1035.952148
0.050000, -1035.952393
0.060000, -1036.463013
0.070000, -1036.463013
0.080000, -1035.951660
0.090000, -1035.441040
0.100000, -1035.440796
0.110000, -1035.951660
0.120000, -1035.952637
0.130000, -1035.951416
0.140000, -1035.952637
0.150000, -1035.440796
0.160000, -1035.951904
0.170000, -1035.952148
0.180000, -1036.462769
0.190000, -1035.952393
0.200000, -1035.952148
0.210000, -1035.952637
0.220000, -1035.440796
0.230000, -1035.951904
0.240000, -1035.952393
0.250000, -1035.951904
0.260000, -1035.951660
0.270000, -1035.952148
0.280000, -1035.952148
0.300000, -1035.952148
0.310000, -1035.953003
0.320000, -1035.952393
0.330000, -1036.463257
0.340000, -1035.440552
0.350000, -1035.952637
0.360000, -1036.463501
0.370000, -1035.439941
0.380000, -1035.951904
0.390000, -1035.441040
0.400000, -1035.952148
0.410000, -1035.951660
0.420000, -1035.952148
0.430000, -1035.951904
0.440000, -1035.952148
0.450000, -1036.463013
0.460000, -1035.952393
0.470000, -1035.951904
0.480000, -1035.951904
0.490000, -1036.463013
0.500000, -1036.463257
0.510000, -1035.951660
0.520000, -1035.951904
0.530000, -1035.952393
0.540000, -1036.463013
0.550000, -1036.463013
0.560000, -1035.952148
0.570000, -1035.441040
0.580000, -1035.441528
0.590000, -1035.440796
0.600000, -1034.418945
0.610000, -1035.441528
0.620000, -1033.908081
0.630000, -1034.930054
0.640000, -1034.930054
0.650000, -1035.441040
0.660000, -1034.930298
0.670000, -1035.952148
0.680000, -1034.930054
0.690000, -1035.440552
0.700000, -1035.951660
0.710000, -1035.952148
0.720000, -1035.951904
0.730000, -1035.440552
0.740000, -1034.929810
0.750000, -1034.929565
0.760000, -1034.929810
0.770000, -1035.441284
0.780000, -1034.419189
0.790000, -1034.418701
0.800000, -1034.929810
0.810000, -1035.441284
0.820000, -1034.418945
0.830000, -1035.952393
0.839999, -1035.441040
0.849999, -1035.440796
0.859999, -1034.929810
0.869999, -1034.930054
0.879999, -1034.930298
0.889999, -1034.930298
0.899999, -1034.418701
0.909999, -1034.930298
0.919999, -1034.930054
0.929999, -1035.952148
0.939999, -1034.930054
0.949999, -1036.462524
0.959999, -1035.441040
0.969999, -1034.930298
0.979999, -1034.930298
0.989999, -1034.930054
0.999999, -1034.930298
1.009999, -1035.441040
1.019999, -1035.441040
1.029999, -1035.441040
1.039999, -1035.441528
1.049999, -1034.930054
1.059999, -1034.930542
1.069999, -1034.418457
1.079999, -1035.441528
1.089999, -1034.418701
1.099999, -1034.929565
1.109999, -1035.440796
1.119999, -1034.929810
1.129999, -1035.440308
1.139999, -1035.441040
1.149999, -1035.441040
1.159999, -1035.441284
1.169999, -1035.440796
1.179999, -1034.930054
1.189999, -1035.440796
1.199999, -1035.440552
1.209999, -1035.441040
1.219999, -1035.952148
1.229999, -1035.951904
1.239999, -1035.440796
1.249999, -1035.952148
1.259999, -1034.930298
1.269999, -1034.929810
1.279999, -1034.930054
1.289999, -1035.441040
1.299999, -1034.930054
1.309999, -1035.441040
1.319999, -1035.441284
1.329999, -1035.952148
1.339999, -1034.930542
1.349999, -1035.952637
1.359999, -1034.930298
1.369999, -1035.951904
1.379999, -1035.952393
1.389999, -1034.418701
1.399999, -1035.441040
1.409999, -1035.441284
1.419999, -1035.440796
1.429999, -1035.440796
1.439999, -1034.929810
1.449999, -1035.441040
1.459999, -1034.929810
1.469999, -1035.440796
1.479999, -1035.440796
1.489999, -1034.929565
1.499999, -1035.952148
1.509999, -1035.440552
1.519999, -1035.441040
1.529999, -1035.441040
1.539999, -1034.930054
1.549999, -1034.930298
1.559999, -1035.952637
1.569999, -1035.440552
1.579999, -1035.441040
1.589999, -1035.441528
1.599999, -1035.441528
1.609999, -1035.440796
1.619999, -1035.440796
1.629999, -1035.440796
1.639999, -1035.952148
1.649999, -1035.441284
1.659999, -1035.441528
1.669999, -1035.952393
1.679999, -1035.441040
1.689999, -1035.441528
1.699999, -1035.441528
1.709999, -1035.441528
1.719999, -1035.441284
1.729999, -1034.930298
1.739999, -1035.951660
1.749999, -1034.418945
1.759999, -1035.440552
1.769999, -1035.952148
1.779999, -1035.441040
1.789999, -1035.441040
1.799999, -1035.441040
1.809999, -1035.441284
1.819999, -1035.441284
1.829999, -1034.418945
1.839999, -1035.440552
1.849999, -1034.929810
1.859999, -1035.440796
1.869999, -1035.440796
1.879999, -1034.929565
1.889999, -1035.441040
1.899999, -1034.930298
1.909999, -1034.930298
1.919999, -1034.930054
1.929999, -1034.930908
1.939999, -1035.441040
1.949998, -1035.441040
1.959998, -1035.440552
1.969998, -1035.441040
1.979998, -1035.441284
1.989998, -1035.440796
1.999998, -1035.440796
2.009999, -1035.440308
2.019999, -1034.418945
2.029999, -1035.440796
2.039999, -1035.441040
2.049999, -1035.441528
2.059999, -1034.930542
2.069999, -1035.441040
2.079998, -1035.441040
2.089998, -1035.440796
2.099998, -1035.441040
2.109998, -1035.440308
2.119998, -1035.439697
2.129998, -1035.441284
2.139998, -1035.440552
2.149998, -1035.441040
2.159998, -1035.441284
2.169998, -1034.928955
2.179998, -1035.441528
2.189998, -1034.929565
2.199998, -1034.930298
2.209998, -1035.441284
2.219998, -1035.441528
2.229998, -1035.440796
2.239998, -1035.440796
2.249998, -1035.440308
2.259998, -1035.440796
2.269998, -1035.441284
2.279998, -1035.441284
2.289998, -1034.930054
2.299998, -1034.929810
2.309998, -1035.952148
2.319998, -1035.441284
2.329998, -1035.952637
2.339998, -1034.929810
2.349998, -1035.952148
2.359998, -1035.952393
2.369998, -1035.951660
2.379998, -1035.441040
2.389998, -1035.440796
2.399998, -1035.441040
2.409998, -1034.930054
2.419998, -1035.441284
2.429998, -1035.441528
2.439998, -1034.930542
2.449998, -1035.441040
2.459998, -1035.441040
2.469998, -1035.440796
2.479998, -1035.441528
2.489998, -1035.441040
2.499998, -1034.930054
2.509998, -1035.441040
2.519998, -1034.930054
2.529998, -1034.930908
2.539998, -1034.929810
2.549998, -1035.951904
2.559998, -1035.441040
2.569998, -1035.440796
2.579998, -1034.929810
2.589998, -1035.441040
2.599998, -1034.929565
2.609998, -1035.441895
2.619998, -1035.441895
2.629998, -1035.440552
2.639998, -1034.930054
2.649998, -1034.930054
2.659998, -1034.418945
2.669998, -1034.930054
2.679998, -1035.951904
2.689998, -1035.441040
2.699998, -1034.930054
2.709998, -1035.441528
2.719998, -1035.441040
2.729998, -1035.440796
2.739998, -1035.952148
2.749998, -1035.441040
2.759998, -1034.929565
2.769998, -1035.440552
2.779998, -1035.441284
2.789998, -1035.440796
2.799998, -1035.440308
2.809998, -1035.440796
2.819998, -1035.440308
2.829998, -1035.441284
2.839998, -1035.441284
2.849998, -1035.440552
2.859998, -1035.441040
2.869998, -1035.441284
2.879998, -1035.440552
2.889998, -1034.929565
2.899998, -1035.440552
2.909998, -1035.440552
2.919998, -1035.440796
2.929998, -1035.441040
2.939998, -1034.418457
2.949998, -1035.441284
2.959998, -1034.930542
2.969998, -1035.441284
2.979998, -1036.463257
2.989998, -1035.441528
2.999998, -1034.930908
3.009998, -1034.929810
3.019998, -1034.419189
3.029998, -1035.441528
3.039998, -1035.440796
3.049998, -1035.440796
3.059998, -1035.441528
3.069998, -1034.930542
3.079998, -1035.441528
3.089998, -1035.951904
3.099998, -1035.440308
3.109998, -1034.929810
3.119998, -1035.441528
3.129997, -1035.952148
3.139997, -1034.929810
3.149997, -1035.441040
3.159997, -1035.440552
3.169997, -1035.440552
3.179997, -1035.440796
3.189997, -1035.440552
3.199997, -1034.930542
3.209997, -1035.441284
3.219997, -1035.441284
3.229997, -1035.441528
3.239997, -1034.929810
3.249997, -1035.441528
3.259997, -1034.929810
3.269997, -1035.441040
3.279997, -1035.441284
3.289997, -1035.440796
3.299997, -1035.440552
3.309997, -1035.441284
3.319997, -1034.930298
3.329997, -1035.441040
3.339997, -1034.930054
3.349997, -1035.440796
3.359997, -1035.440796
3.369997, -1035.952148
3.379997, -1034.930542
3.389997, -1035.441040
3.399997, -1035.441284
3.409997, -1035.440796
3.419997, -1035.441040
3.429997, -1034.930054
3.439997, -1035.440796
3.449997, -1035.952148
3.459997, -1035.441284
3.469997, -1035.440796
3.479997, -1035.440552
3.489997, -1034.930542
3.499997, -1035.952393
3.509997, -1035.440796
3.519997, -1035.441040
3.529997, -1035.440796
3.539997, -1034.930054
3.549997, -1035.441284
3.559997, -1035.440552
3.569997, -1035.441040
3.579997, -1035.441284
3.589997, -1035.440796
3.599997, -1036.463257
3.609997, -1035.952393
3.619997, -1034.930054
3.629997, -1035.441040
3.639997, -1034.930298
3.649997, -1035.441040
3.659997, -1034.930542
3.669997, -1035.441040
3.679997, -1035.951904
3.689997, -1035.440796
3.699997, -1036.463501
3.709997, -1035.441284
3.719997, -1035.441040
3.729997, -1035.441040
3.739997, -1035.440552
3.749997, -1035.441284
3.759997, -1036.463257
3.769997, -1035.952393
3.779997, -1035.440796
3.789997, -1035.441284
3.799997, -1034.929810
3.809997, -1035.441040
3.819997, -1035.441528
3.829997, -1035.441040
3.839997, -1035.441284
3.849997, -1035.441528
3.859997, -1034.930542
3.869997, -1035.952637
3.879997, -1036.463501
3.889997, -1035.952393
3.899997, -1035.951904
3.909997, -1035.441040
3.919997, -1034.930298
3.929997, -1035.951904
3.939997, -1034.930542
3.949997, -1035.440796
3.959997, -1036.463013
3.969997, -1035.441040
3.979997, -1035.441284
3.989997, -1035.951416
3.999997, -1035.440552
4.009997, -1035.441284
4.019997, -1034.930298
4.029997, -1035.953003
4.039998, -1035.441284
4.049998, -1035.441284
4.059998, -1035.440796
4.069998, -1035.951904
4.079998, -1035.441040
4.089999, -1035.951904
4.099999, -1035.440796
4.109999, -1035.951660
4.119999, -1035.441040
4.130000, -1035.951904
4.140000, -1035.441040
4.150000, -1035.951660
4.160000, -1035.440552
4.170001, -1035.951416
4.180001, -1035.440796
4.190001, -1035.440796
4.200001, -1035.952148
4.210001, -1035.441284
4.220002, -1035.441284
4.230002, -1035.440796
4.240002, -1034.930054
