t, phi
0.000000, -0.106818
0.020000, -0.106499
0.030000, -0.105959
0.040000, -0.105735
0.050000, -0.105442
0.060000, -0.104745
0.070000, -0.104323
0.080000, -0.103884
0.090000, -0.103256
0.100000, -0.102707
0.110000, -0.102219
0.120000, -0.101556
0.130000, -0.100930
0.140000, -0.100336
0.150000, -0.099659
0.160000, -0.098999
0.170000, -0.098338
0.180000, -0.097649
0.190000, -0.096985
0.200000, -0.096328
0.210000, -0.095613
0.220000, -0.094865
0.230000, -0.094188
0.240000, -0.093518
0.250000, -0.092877
0.260000, -0.092190
0.270000, -0.091547
0.280000, -0.090963
0.300000, -0.090348
0.310000, -0.089807
0.320000, -0.089198
0.330000, -0.088662
0.340000, -0.088119
0.350000, -0.087645
0.360000, -0.087181
0.370000, -0.086739
0.380000, -0.086372
0.390000, -0.086042
0.400000, -0.085719
0.410000, -0.085425
0.420000, -0.085159
0.430000, -0.084859
0.440000, -0.084625
0.450000, -0.084418
0.460000, -0.084182
0.470000, -0.083954
0.480000, -0.083714
0.490000, -0.083510
0.500000, -0.083280
0.510000, -0.083015
0.520000, -0.082743
0.530000, -0.082477
0.540000, -0.082184
0.550000, -0.081943
0.560000, -0.081606
0.570000, -0.081274
0.580000, -0.080969
0.590000, -0.080666
0.600000, -0.080293
0.610000, -0.079933
0.620000, -0.079566
0.630000, -0.079191
0.640000, -0.078814
0.650000, -0.078445
0.660000, -0.078042
0.670000, -0.077574
0.680000, -0.077169
0.690000, -0.076783
0.700000, -0.076359
0.710000, -0.075937
0.720000, -0.075548
0.730000, -0.075123
0.740000, -0.074756
0.750000, -0.074384
0.760000, -0.074019
0.770000, -0.073629
0.780000, -0.073232
0.790000, -0.072897
0.800000, -0.072527
0.810000, -0.072197
0.820000, -0.071867
0.830000, -0.071591
0.839999, -0.071297
0.849999, -0.070960
0.859999, -0.070645
0.869999, -0.070301
0.879999, -0.069900
0.889999, -0.069590
0.899999, -0.069245
0.909999, -0.068899
0.919999, -0.068547
0.929999, -0.068196
0.939999, -0.067851
0.949999, -0.067486
0.959999, -0.067120
0.969999, -0.066726
0.979999, -0.066315
0.989999, -0.065927
0.999999, -0.065524
1.009999, -0.065114
1.019999, -0.064702
1.029999, -0.064256
1.039999, -0.063819
1.049999, -0.063388
1.059999, -0.062979
1.069999, -0.062582
1.079999, -0.062174
1.089999, -0.061779
1.099999, -0.061399
1.109999, -0.060978
1.119999, -0.060594
1.129999, -0.060275
1.139999, -0.059896
1.149999, -0.059536
1.159999, -0.059191
1.169999, -0.058887
1.179999, -0.058586
1.189999, -0.058313
1.199999, -0.057989
1.209999, -0.057676
1.219999, -0.057366
1.229999, -0.057075
1.239999, -0.056764
1.249999, -0.056499
1.259999, -0.056272
1.269999, -0.056004
1.279999, -0.055747
1.289999, -0.055476
1.299999, -0.055218
1.309999, -0.054973
1.319999, -0.054727
1.329999, -0.054462
1.339999, -0.054204
1.349999, -0.053900
1.359999, -0.053658
1.369999, -0.053416
1.379999, -0.053211
1.389999, -0.052964
1.399999, -0.052771
1.409999, -0.052551
1.419999, -0.052310
1.429999, -0.052082
1.439999, -0.051806
1.449999, -0.051517
1.459999, -0.051268
1.469999, -0.051011
1.479999, -0.050764
