t, tm
0.000000, 0.000000
0.020000, 0.000001
0.030000, 0.000002
0.040000, 0.000003
0.050000, 0.000005
0.060000, 0.000007
0.070000, 0.000009
0.080000, 0.000012
0.090000, 0.000015
0.100000, 0.000019
0.110000, 0.000023
0.120000, 0.000027
0.130000, 0.000032
0.140000, 0.000037
0.150000, 0.000042
0.160000, 0.000048
0.170000, 0.000054
0.180000, 0.000061
0.190000, 0.000068
0.200000, 0.000075
0.210000, 0.000083
0.220000, 0.000091
0.230000, 0.000100
0.240000, 0.000109
0.250000, 0.000118
0.260000, 0.000127
0.270000, 0.000137
0.280000, 0.000148
0.300000, 0.000158
0.310000, 0.000170
0.320000, 0.000181
0.330000, 0.000193
0.340000, 0.000205
0.350000, 0.000218
0.360000, 0.000231
0.370000, 0.000244
0.380000, 0.000258
0.390000, 0.000272
0.400000, 0.000287
0.410000, 0.000301
0.420000, 0.000317
0.430000, 0.000332
0.440000, 0.000348
0.450000, 0.000365
0.460000, 0.000381
0.470000, 0.000399
0.480000, 0.000416
0.490000, 0.000434
0.500000, 0.000452
0.510000, 0.000471
0.520000, 0.000490
0.530000, 0.000509
0.540000, 0.000529
0.550000, 0.000549
0.560000, 0.000570
0.570000, 0.000591
0.580000, 0.000612
0.590000, 0.000634
0.600000, 0.000656
0.610000, 0.000678
0.620000, 0.000701
0.630000, 0.000724
0.640000, 0.000748
0.650000, 0.000772
0.660000, 0.000796
0.670000, 0.000821
0.680000, 0.000846
0.690000, 0.000871
0.700000, 0.000897
0.710000, 0.000923
0.720000, 0.000950
0.730000, 0.000976
0.740000, 0.001004
0.750000, 0.001031
0.760000, 0.001060
0.770000, 0.001088
0.780000, 0.001117
0.790000, 0.001146
0.800000, 0.001176
0.810000, 0.001205
0.820000, 0.001236
0.830000, 0.001266
0.839999, 0.001297
0.849999, 0.001329
0.859999, 0.001361
0.869999, 0.001393
0.879999, 0.001425
0.889999, 0.001458
0.899999, 0.001492
0.909999, 0.001525
0.919999, 0.001559
0.929999, 0.001594
0.939999, 0.001629
0.949999, 0.001664
0.959999, 0.001699
0.969999, 0.001735
0.979999, 0.001772
0.989999, 0.001808
0.999999, 0.001845
1.009999, 0.001883
1.019999, 0.001921
1.029999, 0.001959
1.039999, 0.001997
1.049999, 0.002036
1.059999, 0.002075
1.069999, 0.002115
1.079999, 0.002155
1.089999, 0.002196
1.099999, 0.002236
1.109999, 0.002277
1.119999, 0.002319
1.129999, 0.002361
1.139999, 0.002403
1.149999, 0.002446
1.159999, 0.002489
1.169999, 0.002532
1.179999, 0.002576
1.189999, 0.002620
1.199999, 0.002664
1.209999, 0.002709
1.219999, 0.002754
1.229999, 0.002800
1.239999, 0.002846
1.249999, 0.002892
1.259999, 0.002939
1.269999, 0.002986
1.279999, 0.003034
1.289999, 0.003081
1.299999, 0.003129
1.309999, 0.003178
1.319999, 0.003227
1.329999, 0.003276
1.339999, 0.003326
1.349999, 0.003376
1.359999, 0.003426
1.369999, 0.003477
1.379999, 0.003528
1.389999, 0.003579
1.399999, 0.003631
1.409999, 0.003683
1.419999, 0.003736
1.429999, 0.003789
1.439999, 0.003842
1.449999, 0.003896
1.459999, 0.003950
1.469999, 0.004004
1.479999, 0.004059
1.489999, 0.004114
1.499999, 0.004169
1.509999, 0.004225
1.519999, 0.004281
1.529999, 0.004338
1.539999, 0.004394
1.549999, 0.004452
1.559999, 0.004509
1.569999, 0.004567
1.579999, 0.004625
1.589999, 0.004684
1.599999, 0.004743
1.609999, 0.004802
1.619999, 0.004862
1.629999, 0.004922
1.639999, 0.004982
1.649999, 0.005043
1.659999, 0.005104
1.669999, 0.005166
1.679999, 0.005227
1.689999, 0.005290
1.699999, 0.005352
1.709999, 0.005415
1.719999, 0.005478
1.729999, 0.005542
1.739999, 0.005605
1.749999, 0.005670
1.759999, 0.005734
1.769999, 0.005799
1.779999, 0.005864
1.789999, 0.005930
1.799999, 0.005996
1.809999, 0.006062
1.819999, 0.006129
1.829999, 0.006196
1.839999, 0.006263
1.849999, 0.006331
1.859999, 0.006398
1.869999, 0.006467
1.879999, 0.006535
1.889999, 0.006604
1.899999, 0.006674
1.909999, 0.006743
1.919999, 0.006813
1.929999, 0.006883
1.939999, 0.006954
1.949998, 0.007025
1.959998, 0.007096
1.969998, 0.007168
1.979998, 0.007239
1.989998, 0.007312
1.999998, 0.007384
2.009999, 0.007457
2.019999, 0.007530
2.029999, 0.007604
2.039999, 0.007677
2.049999, 0.007751
2.059999, 0.007826
2.069999, 0.007901
2.079998, 0.007976
2.089998, 0.008051
2.099998, 0.008127
2.109998, 0.008203
2.119998, 0.008279
2.129998, 0.008355
2.139998, 0.008432
2.149998, 0.008510
2.159998, 0.008587
2.169998, 0.008665
2.179998, 0.008743
2.189998, 0.008821
2.199998, 0.008900
2.209998, 0.008979
2.219998, 0.009058
2.229998, 0.009138
2.239998, 0.009217
2.249998, 0.009297
2.259998, 0.009378
2.269998, 0.009459
2.279998, 0.009539
2.289998, 0.009621
2.299998, 0.009702
2.309998, 0.009784
2.319998, 0.009866
2.329998, 0.009948
2.339998, 0.010031
2.349998, 0.010114
2.359998, 0.010197
2.369998, 0.010280
2.379998, 0.010364
2.389998, 0.010448
2.399998, 0.010532
2.409998, 0.010617
2.419998, 0.010701
2.429998, 0.010786
2.439998, 0.010872
2.449998, 0.010957
2.459998, 0.011043
2.469998, 0.011129
2.479998, 0.011215
2.489998, 0.011301
2.499998, 0.011388
2.509998, 0.011475
2.519998, 0.011562
2.529998, 0.011650
2.539998, 0.011737
2.549998, 0.011825
2.559998, 0.011913
2.569998, 0.012001
2.579998, 0.012090
2.589998, 0.012179
2.599998, 0.012268
2.609998, 0.012357
2.619998, 0.012446
2.629998, 0.012536
2.639998, 0.012625
2.649998, 0.012715
2.659998, 0.012806
2.669998, 0.012896
2.679998, 0.012987
2.689998, 0.013077
2.699998, 0.013168
2.709998, 0.013260
2.719998, 0.013351
2.729998, 0.013442
2.739998, 0.013534
2.749998, 0.013626
2.759998, 0.013718
2.769998, 0.013810
2.779998, 0.013903
2.789998, 0.013995
2.799998, 0.014088
2.809998, 0.014181
2.819998, 0.014274
2.829998, 0.014367
2.839998, 0.014461
2.849998, 0.014554
2.859998, 0.014648
2.869998, 0.014742
2.879998, 0.014835
2.889998, 0.014930
2.899998, 0.015024
2.909998, 0.015118
2.919998, 0.015212
2.929998, 0.015307
2.939998, 0.015402
2.949998, 0.015497
2.959998, 0.015591
2.969998, 0.015686
2.979998, 0.015782
2.989998, 0.015877
2.999998, 0.015972
3.009998, 0.016068
3.019998, 0.016163
3.029998, 0.016259
3.039998, 0.016354
3.049998, 0.016450
3.059998, 0.016546
3.069998, 0.016642
3.079998, 0.016738
3.089998, 0.016834
3.099998, 0.016930
3.109998, 0.017026
3.119998, 0.017122
3.129997, 0.017218
3.139997, 0.017315
3.149997, 0.017411
3.159997, 0.017507
3.169997, 0.017604
3.179997, 0.017700
3.189997, 0.017797
3.199997, 0.017893
3.209997, 0.017990
3.219997, 0.018086
3.229997, 0.018183
3.239997, 0.018279
3.249997, 0.018376
3.259997, 0.018472
3.269997, 0.018569
3.279997, 0.018665
3.289997, 0.018762
3.299997, 0.018858
3.309997, 0.018954
3.319997, 0.019051
3.329997, 0.019147
3.339997, 0.019243
3.349997, 0.019340
3.359997, 0.019436
3.369997, 0.019532
3.379997, 0.019628
3.389997, 0.019724
3.399997, 0.019820
3.409997, 0.019916
3.419997, 0.020012
3.429997, 0.020107
3.439997, 0.020203
3.449997, 0.020298
3.459997, 0.020394
3.469997, 0.020489
3.479997, 0.020584
3.489997, 0.020679
3.499997, 0.020774
3.509997, 0.020869
3.519997, 0.020964
3.529997, 0.021058
3.539997, 0.021153
3.549997, 0.021247
3.559997, 0.021341
3.569997, 0.021435
3.579997, 0.021529
3.589997, 0.021622
3.599997, 0.021716
3.609997, 0.021809
3.619997, 0.021902
3.629997, 0.021995
3.639997, 0.022087
3.649997, 0.022180
3.659997, 0.022272
3.669997, 0.022364
3.679997, 0.022456
3.689997, 0.022548
3.699997, 0.022639
3.709997, 0.022730
3.719997, 0.022821
3.729997, 0.022911
3.739997, 0.023002
3.749997, 0.023092
3.759997, 0.023182
3.769997, 0.023271
3.779997, 0.023361
3.789997, 0.023450
3.799997, 0.023538
3.809997, 0.023627
3.819997, 0.023715
3.829997, 0.023802
3.839997, 0.023890
3.849997, 0.023977
3.859997, 0.024064
3.869997, 0.024150
3.879997, 0.024236
3.889997, 0.024322
3.899997, 0.024408
3.909997, 0.024493
3.919997, 0.024577
3.929997, 0.024662
3.939997, 0.024746
3.949997, 0.024829
3.959997, 0.024912
3.969997, 0.024995
3.979997, 0.025077
3.989997, 0.025159
3.999997, 0.025241
4.009997, 0.025322
4.019997, 0.025402
4.029997, 0.025482
4.039998, 0.025562
4.049998, 0.025641
4.059998, 0.025720
4.069998, 0.025798
4.079998, 0.025876
4.089999, 0.025954
4.099999, 0.026031
4.109999, 0.026107
4.119999, 0.026183
4.130000, 0.026258
4.140000, 0.026333
4.150000, 0.026407
4.160000, 0.026481
4.170001, 0.026554
4.180001, 0.026627
4.190001, 0.026699
4.200001, 0.026770
4.210001, 0.026841
4.220002, 0.026912
4.230002, 0.026982
4.240002, 0.027051
4.250002, 0.027119
4.260003, 0.027187
4.270003, 0.027255
4.280003, 0.027322
4.290003, 0.027388
4.300004, 0.027453
4.310004, 0.027518
4.320004, 0.027582
4.330004, 0.027646
4.340004, 0.027709
4.350005, 0.027771
4.360005, 0.027832
4.370005, 0.027893
4.380005, 0.027953
4.390006, 0.028013
4.400006, 0.028072
4.410006, 0.028130
4.420006, 0.028187
4.430007, 0.028243
4.440007, 0.028299
4.450007, 0.028354
4.460007, 0.028408
4.470007, 0.028462
4.480008, 0.028515
4.490008, 0.028567
4.500008, 0.028618
4.510008, 0.028668
4.520009, 0.028718
4.530009, 0.028766
4.540009, 0.028814
4.550009, 0.028861
4.560009, 0.028908
4.570010, 0.028953
4.580010, 0.028998
4.590010, 0.029041
4.600010, 0.029084
4.610011, 0.029126
4.620011, 0.029167
4.630011, 0.029208
4.640011, 0.029247
