t, uk
0.000000, -0.009151
0.020000, -0.019266
0.030000, -0.016072
0.040000, -0.014475
0.050000, -0.015273
0.060000, -0.012878
0.070000, -0.010482
0.080000, -0.009417
0.090000, -0.008619
0.100000, -0.004360
0.110000, -0.002230
0.120000, 0.000698
0.130000, 0.002827
0.140000, 0.005755
0.150000, 0.006021
0.160000, 0.010014
0.170000, 0.011611
0.180000, 0.012410
0.190000, 0.014007
0.200000, 0.016402
0.210000, 0.016136
0.220000, 0.019064
0.230000, 0.018798
0.240000, 0.019863
0.250000, 0.019863
0.260000, 0.020129
0.270000, 0.018798
0.280000, 0.018798
0.300000, 0.019064
0.310000, 0.016136
0.320000, 0.015338
0.330000, 0.014539
0.340000, 0.013474
0.350000, 0.010812
0.360000, 0.009748
0.370000, 0.006287
0.380000, 0.004956
0.390000, 0.001230
0.400000, -0.000367
0.410000, -0.003295
0.420000, -0.004892
0.430000, -0.008353
0.440000, -0.010216
0.450000, -0.013410
0.460000, -0.013942
0.470000, -0.015539
0.480000, -0.016604
0.490000, -0.017137
0.500000, -0.017935
0.510000, -0.018201
0.520000, -0.018467
0.530000, -0.018467
0.540000, -0.017669
0.550000, -0.016072
0.560000, -0.016072
0.570000, -0.013942
0.580000, -0.014209
0.590000, -0.012079
0.600000, -0.011813
0.610000, -0.010216
0.620000, -0.008353
0.630000, -0.007288
0.640000, -0.006223
0.650000, -0.004094
0.660000, -0.004094
0.670000, -0.001432
0.680000, -0.001166
0.690000, -0.000367
0.700000, 0.000964
0.710000, 0.002295
0.720000, 0.002029
0.730000, 0.002029
0.740000, 0.001762
0.750000, 0.001762
0.760000, 0.002295
0.770000, 0.001762
0.780000, 0.001230
0.790000, 0.000165
0.800000, 0.000165
0.810000, -0.001166
0.820000, -0.000367
0.830000, -0.002497
0.839999, -0.002230
0.849999, -0.002230
0.859999, -0.003029
0.869999, -0.003029
0.879999, -0.002497
0.889999, -0.001698
0.899999, -0.002230
0.909999, -0.001698
0.919999, -0.001698
0.929999, -0.000899
0.939999, -0.000367
0.949999, 0.001230
0.959999, 0.001496
0.969999, 0.002561
0.979999, 0.002827
0.989999, 0.004956
0.999999, 0.005489
1.009999, 0.006554
1.019999, 0.007086
1.029999, 0.007618
1.039999, 0.007884
1.049999, 0.008417
1.059999, 0.009748
1.069999, 0.009482
1.079999, 0.009215
1.089999, 0.009748
1.099999, 0.010014
1.109999, 0.009748
1.119999, 0.009482
1.129999, 0.008683
1.139999, 0.008151
