t, ur
0.000000, 0.161499
0.020000, 0.151367
0.030000, 0.665649
0.040000, 0.156128
0.050000, -0.355591
0.060000, -0.353271
0.070000, -0.350830
0.080000, -0.349731
0.090000, -0.348999
0.100000, -0.344727
0.110000, 0.168457
0.120000, 0.171387
0.130000, -0.337524
0.140000, -0.334595
0.150000, 0.176636
0.160000, -0.330322
0.170000, -0.328735
0.180000, -0.327881
0.190000, 0.184692
0.200000, 0.187012
0.210000, -0.835327
0.220000, -0.321289
0.230000, -0.321533
0.240000, -0.320435
0.250000, -0.320435
0.260000, 0.701904
0.270000, -0.321533
0.280000, 0.189453
0.300000, -0.321289
0.310000, -0.324219
0.320000, 0.186035
0.330000, -0.325806
0.340000, -0.326904
0.350000, -0.329590
0.360000, -0.330566
0.370000, -0.845215
0.380000, 0.175659
0.390000, -0.339111
0.400000, -0.340698
0.410000, 0.167358
0.420000, -0.345215
0.430000, -0.348755
0.440000, 0.160400
0.450000, 0.157227
0.460000, 0.156738
0.470000, -0.355835
0.480000, -0.868042
0.490000, -0.357422
0.500000, 0.663818
0.510000, 0.152466
0.520000, -0.358765
0.530000, -0.358765
0.540000, -0.358032
0.550000, -0.356445
0.560000, -0.867554
0.570000, -0.865356
0.580000, -0.865601
0.590000, -0.352417
0.600000, -0.352173
0.610000, -0.350586
0.620000, -0.348755
0.630000, 0.163330
0.640000, -0.346558
0.650000, -0.344482
0.660000, -0.855591
0.670000, -0.341797
0.680000, -0.341553
0.690000, -0.340698
0.700000, -0.850464
0.710000, 0.172974
0.720000, -0.849365
0.730000, -0.338257
0.740000, -0.849731
0.750000, -0.338623
0.760000, -0.338013
0.770000, 0.172363
0.780000, -0.339111
0.790000, -0.340210
0.800000, -0.340210
0.810000, -0.341553
0.820000, -0.340698
0.830000, -0.342896
0.839999, -1.364746
0.849999, -0.342529
0.859999, -0.343384
0.869999, 0.167603
0.879999, -0.342896
0.889999, -0.342041
0.899999, 0.168457
0.909999, -0.342041
0.919999, -0.342041
0.929999, -0.341187
0.939999, -0.340698
0.949999, -0.339111
0.959999, -0.338867
0.969999, -0.337769
0.979999, -0.848633
0.989999, -0.335327
0.999999, -0.334839
1.009999, -0.333740
1.019999, -0.333252
1.029999, 0.178223
1.039999, -0.332397
1.049999, 0.179077
1.059999, -0.330566
1.069999, 0.180176
1.079999, -0.331177
1.089999, -0.841675
1.099999, -0.330322
1.109999, -0.330566
1.119999, -0.330811
1.129999, 0.179321
1.139999, -0.843262
1.149999, -0.332397
