t, phi
0.000000, -0.072253
0.020000, -0.072195
0.030000, -0.072081
0.040000, -0.071976
0.050000, -0.071653
0.060000, -0.071522
0.070000, -0.071273
0.080000, -0.071251
0.090000, -0.071080
0.100000, -0.070962
0.110000, -0.070868
0.120000, -0.070934
0.130000, -0.071009
0.140000, -0.071094
0.150000, -0.071211
0.160000, -0.071495
0.170000, -0.071797
0.180000, -0.072078
0.190000, -0.072441
0.200000, -0.072953
0.210000, -0.073630
0.220000, -0.074359
0.230000, -0.075188
0.240000, -0.075792
0.250000, -0.076941
0.260000, -0.077973
0.270000, -0.079313
0.280000, -0.080244
0.300000, -0.081745
0.310000, -0.083083
0.320000, -0.084622
0.330000, -0.086213
0.340000, -0.087928
0.350000, -0.089672
0.360000, -0.091232
0.370000, -0.093277
0.380000, -0.094732
0.390000, -0.096986
0.400000, -0.098760
0.410000, -0.100488
0.420000, -0.102904
0.430000, -0.104991
0.440000, -0.106955
0.450000, -0.108739
0.460000, -0.111259
0.470000, -0.113286
0.480000, -0.115530
0.490000, -0.117611
0.500000, -0.119749
0.510000, -0.121915
0.520000, -0.123874
0.530000, -0.125797
0.540000, -0.127587
0.550000, -0.129313
0.560000, -0.131034
0.570000, -0.132607
0.580000, -0.133982
0.590000, -0.135243
0.600000, -0.136422
0.610000, -0.137278
0.620000, -0.138190
0.630000, -0.138762
0.640000, -0.139349
0.650000, -0.139580
0.660000, -0.139794
0.670000, -0.139727
0.680000, -0.139380
0.690000, -0.138902
0.700000, -0.138124
0.710000, -0.137183
0.720000, -0.135960
0.730000, -0.134605
0.740000, -0.133079
0.750000, -0.131084
0.760000, -0.129151
0.770000, -0.126930
0.780000, -0.124714
0.790000, -0.122088
0.800000, -0.119486
0.810000, -0.116559
0.820000, -0.113594
0.830000, -0.110424
0.839999, -0.107189
0.849999, -0.103587
0.859999, -0.100072
0.869999, -0.096329
0.879999, -0.092500
0.889999, -0.088540
0.899999, -0.084527
0.909999, -0.080282
0.919999, -0.076077
0.929999, -0.071734
0.939999, -0.067364
0.949999, -0.062916
0.959999, -0.058361
0.969999, -0.053756
0.979999, -0.049173
0.989999, -0.044530
0.999999, -0.039906
1.009999, -0.035281
1.019999, -0.030654
1.029999, -0.026028
1.039999, -0.021434
1.049999, -0.016954
1.059999, -0.012465
1.069999, -0.008025
1.079999, -0.003698
1.089999, 0.000465
1.099999, 0.004566
1.109999, 0.008596
1.119999, 0.012440
1.129999, 0.016114
1.139999, 0.019726
1.149999, 0.023113
1.159999, 0.026447
1.169999, 0.029504
1.179999, 0.032395
1.189999, 0.035004
1.199999, 0.037500
1.209999, 0.039731
1.219999, 0.041743
1.229999, 0.043499
1.239999, 0.045140
1.249999, 0.046396
1.259999, 0.047587
1.269999, 0.048326
1.279999, 0.049064
1.289999, 0.049389
1.299999, 0.049437
1.309999, 0.049242
1.319999, 0.049016
1.329999, 0.048468
1.339999, 0.047684
1.349999, 0.046494
1.359999, 0.045333
1.369999, 0.043834
1.379999, 0.042152
1.389999, 0.040243
1.399999, 0.038319
1.409999, 0.036041
1.419999, 0.033650
1.429999, 0.030952
1.439999, 0.028188
1.449999, 0.025149
1.459999, 0.022080
1.469999, 0.018831
1.479999, 0.015566
1.489999, 0.012067
1.499999, 0.008460
1.509999, 0.004787
1.519999, 0.000833
1.529999, -0.003078
1.539999, -0.006995
1.549999, -0.010988
1.559999, -0.015064
1.569999, -0.019243
1.579999, -0.023241
1.589999, -0.027275
1.599999, -0.031294
1.609999, -0.035180
1.619999, -0.039325
1.629999, -0.043221
1.639999, -0.047084
1.649999, -0.050796
1.659999, -0.054754
1.669999, -0.058274
1.679999, -0.061868
1.689999, -0.065174
1.699999, -0.068532
1.709999, -0.071621
1.719999, -0.074608
1.729999, -0.077326
1.739999, -0.080067
1.749999, -0.082618
1.759999, -0.084986
1.769999, -0.087090
1.779999, -0.089158
1.789999, -0.090903
1.799999, -0.092426
1.809999, -0.093807
1.819999, -0.094936
1.829999, -0.095744
1.839999, -0.096510
1.849999, -0.096907
1.859999, -0.097320
1.869999, -0.097408
1.879999, -0.097412
1.889999, -0.097023
1.899999, -0.096482
1.909999, -0.095694
1.919999, -0.094779
1.929999, -0.093650
1.939999, -0.092415
1.949998, -0.090968
1.959998, -0.089341
1.969998, -0.087499
1.979998, -0.085649
1.989998, -0.083535
1.999998, -0.081308
2.009999, -0.078810
2.019999, -0.076322
2.029999, -0.073605
2.039999, -0.070919
2.049999, -0.068180
2.059999, -0.065332
2.069999, -0.062306
2.079998, -0.059268
2.089998, -0.056075
2.099998, -0.052932
2.109998, -0.049505
2.119998, -0.046080
2.129998, -0.042695
2.139998, -0.039305
2.149998, -0.035921
2.159998, -0.032496
2.169998, -0.028991
2.179998, -0.025509
2.189998, -0.022072
2.199998, -0.018687
2.209998, -0.015260
2.219998, -0.011870
2.229998, -0.008592
2.239998, -0.005271
2.249998, -0.002177
2.259998, 0.000979
2.269998, 0.003966
2.279998, 0.006930
2.289998, 0.009761
2.299998, 0.012505
2.309998, 0.015155
2.319998, 0.017712
2.329998, 0.020187
2.339998, 0.022606
2.349998, 0.024689
2.359998, 0.026822
2.369998, 0.028682
2.379998, 0.030511
2.389998, 0.032174
2.399998, 0.033746
2.409998, 0.035150
2.419998, 0.036446
2.429998, 0.037589
2.439998, 0.038744
2.449998, 0.039508
2.459998, 0.040317
2.469998, 0.040809
2.479998, 0.041277
2.489998, 0.041554
2.499998, 0.041722
2.509998, 0.041807
2.519998, 0.041872
2.529998, 0.041732
2.539998, 0.041568
2.549998, 0.041169
2.559998, 0.040786
2.569998, 0.040092
2.579998, 0.039436
2.589998, 0.038625
2.599998, 0.037825
2.609998, 0.036851
2.619998, 0.035820
2.629998, 0.034719
2.639998, 0.033637
2.649998, 0.032303
2.659998, 0.030960
2.669998, 0.029603
2.679998, 0.028252
2.689998, 0.026688
2.699998, 0.025190
2.709998, 0.023547
2.719998, 0.022078
2.729998, 0.020321
2.739998, 0.018666
2.749998, 0.017024
2.759998, 0.015208
2.769998, 0.013476
2.779998, 0.011668
2.789998, 0.009984
2.799998, 0.008185
2.809998, 0.006432
2.819998, 0.004648
2.829998, 0.002811
2.839998, 0.000988
2.849998, -0.000753
2.859998, -0.002669
2.869998, -0.004379
2.879998, -0.006057
2.889998, -0.007818
2.899998, -0.009529
2.909998, -0.011130
2.919998, -0.012723
2.929998, -0.014268
2.939998, -0.015897
2.949998, -0.017427
2.959998, -0.018958
2.969998, -0.020382
2.979998, -0.021864
2.989998, -0.023196
2.999998, -0.024625
3.009998, -0.025861
3.019998, -0.027141
3.029998, -0.028345
3.039998, -0.029517
3.049998, -0.030487
3.059998, -0.031585
3.069998, -0.032511
3.079998, -0.033432
3.089998, -0.034214
3.099998, -0.035081
3.109998, -0.035718
3.119998, -0.036347
3.129997, -0.037052
3.139997, -0.037614
3.149997, -0.037967
3.159997, -0.038308
3.169997, -0.038738
3.179997, -0.038995
3.189997, -0.039161
3.199997, -0.039255
3.209997, -0.039229
3.219997, -0.039229
3.229997, -0.039089
3.239997, -0.038819
3.249997, -0.038505
3.259997, -0.038164
3.269997, -0.037620
3.279997, -0.036998
3.289997, -0.036365
3.299997, -0.035758
3.309997, -0.034885
3.319997, -0.033909
3.329997, -0.032942
3.339997, -0.031938
3.349997, -0.030821
3.359997, -0.029401
3.369997, -0.028022
3.379997, -0.026771
