t, tm
0.000000, 0.002354
0.020000, 0.004702
0.030000, 0.007039
0.040000, 0.009358
0.050000, 0.011655
0.060000, 0.013922
0.070000, 0.016156
0.080000, 0.018350
0.090000, 0.020499
0.100000, 0.022598
0.110000, 0.024642
0.120000, 0.026626
0.130000, 0.028546
0.140000, 0.030397
0.150000, 0.032175
0.160000, 0.033876
0.170000, 0.035497
0.180000, 0.037033
0.190000, 0.038481
0.200000, 0.039840
0.210000, 0.041105
0.220000, 0.042275
0.230000, 0.043348
0.240000, 0.044322
0.250000, 0.045195
0.260000, 0.045966
0.270000, 0.046635
0.280000, 0.047200
0.300000, 0.047662
0.310000, 0.048022
0.320000, 0.048278
0.330000, 0.048432
0.340000, 0.048486
0.350000, 0.048439
0.360000, 0.048295
0.370000, 0.048054
0.380000, 0.047720
0.390000, 0.047294
0.400000, 0.046779
0.410000, 0.046178
0.420000, 0.045495
0.430000, 0.044732
0.440000, 0.043894
0.450000, 0.042983
0.460000, 0.042005
0.470000, 0.040963
0.480000, 0.039862
0.490000, 0.038705
0.500000, 0.037498
0.510000, 0.036246
0.520000, 0.034952
0.530000, 0.033622
0.540000, 0.032260
0.550000, 0.030873
0.560000, 0.029463
0.570000, 0.028037
0.580000, 0.026599
0.590000, 0.025155
0.600000, 0.023708
0.610000, 0.022263
0.620000, 0.020827
0.630000, 0.019401
0.640000, 0.017993
0.650000, 0.016604
0.660000, 0.015241
0.670000, 0.013906
0.680000, 0.012604
0.690000, 0.011338
0.700000, 0.010112
0.710000, 0.008929
0.720000, 0.007792
0.730000, 0.006704
0.740000, 0.005668
0.750000, 0.004685
0.760000, 0.003759
0.770000, 0.002890
0.780000, 0.002081
0.790000, 0.001333
0.800000, 0.000647
0.810000, 0.000024
0.820000, -0.000535
0.830000, -0.001031
0.839999, -0.001463
0.849999, -0.001830
0.859999, -0.002134
0.869999, -0.002375
0.879999, -0.002555
0.889999, -0.002673
0.899999, -0.002732
0.909999, -0.002733
0.919999, -0.002677
0.929999, -0.002567
0.939999, -0.002405
0.949999, -0.002193
0.959999, -0.001934
0.969999, -0.001630
0.979999, -0.001284
0.989999, -0.000899
0.999999, -0.000478
1.009999, -0.000024
1.019999, 0.000460
1.029999, 0.000970
1.039999, 0.001504
1.049999, 0.002057
1.059999, 0.002626
1.069999, 0.003209
1.079999, 0.003800
1.089999, 0.004398
1.099999, 0.004999
1.109999, 0.005598
1.119999, 0.006194
1.129999, 0.006783
1.139999, 0.007361
1.149999, 0.007925
1.159999, 0.008473
1.169999, 0.009002
1.179999, 0.009509
1.189999, 0.009992
1.199999, 0.010447
1.209999, 0.010873
1.219999, 0.011268
1.229999, 0.011629
1.239999, 0.011956
1.249999, 0.012245
1.259999, 0.012497
1.269999, 0.012709
1.279999, 0.012881
1.289999, 0.013012
1.299999, 0.013101
1.309999, 0.013148
1.319999, 0.013152
1.329999, 0.013114
1.339999, 0.013034
1.349999, 0.012912
1.359999, 0.012749
1.369999, 0.012546
1.379999, 0.012303
1.389999, 0.012021
1.399999, 0.011702
1.409999, 0.011348
1.419999, 0.010959
1.429999, 0.010539
1.439999, 0.010087
1.449999, 0.009608
1.459999, 0.009102
1.469999, 0.008572
1.479999, 0.008020
1.489999, 0.007449
1.499999, 0.006861
1.509999, 0.006260
1.519999, 0.005646
1.529999, 0.005024
1.539999, 0.004395
1.549999, 0.003763
1.559999, 0.003131
1.569999, 0.002500
1.579999, 0.001873
1.589999, 0.001254
1.599999, 0.000645
1.609999, 0.000048
1.619999, -0.000534
1.629999, -0.001099
1.639999, -0.001645
1.649999, -0.002168
1.659999, -0.002668
1.669999, -0.003143
1.679999, -0.003589
1.689999, -0.004006
1.699999, -0.004393
1.709999, -0.004747
1.719999, -0.005067
1.729999, -0.005353
1.739999, -0.005604
1.749999, -0.005817
1.759999, -0.005994
1.769999, -0.006134
1.779999, -0.006235
1.789999, -0.006300
1.799999, -0.006326
1.809999, -0.006315
1.819999, -0.006267
1.829999, -0.006183
1.839999, -0.006063
1.849999, -0.005909
1.859999, -0.005721
1.869999, -0.005501
1.879999, -0.005250
1.889999, -0.004970
1.899999, -0.004663
1.909999, -0.004329
1.919999, -0.003972
1.929999, -0.003593
1.939999, -0.003194
1.949998, -0.002778
1.959998, -0.002347
1.969998, -0.001903
1.979998, -0.001448
1.989998, -0.000986
1.999998, -0.000518
2.009999, -0.000048
2.019999, 0.000423
2.029999, 0.000891
2.039999, 0.001355
2.049999, 0.001811
2.059999, 0.002257
2.069999, 0.002691
2.079998, 0.003111
2.089998, 0.003513
2.099998, 0.003897
2.109998, 0.004258
2.119998, 0.004597
2.129998, 0.004910
2.139998, 0.005196
2.149998, 0.005453
2.159998, 0.005679
2.169998, 0.005873
2.179998, 0.006035
2.189998, 0.006161
2.199998, 0.006253
2.209998, 0.006308
2.219998, 0.006327
2.229998, 0.006308
2.239998, 0.006252
2.249998, 0.006157
2.259998, 0.006026
2.269998, 0.005856
2.279998, 0.005650
2.289998, 0.005407
2.299998, 0.005128
2.309998, 0.004815
2.319998, 0.004467
2.329998, 0.004087
2.339998, 0.003676
2.349998, 0.003236
2.359998, 0.002767
2.369998, 0.002272
2.379998, 0.001753
2.389998, 0.001212
2.399998, 0.000650
2.409998, 0.000072
2.419998, -0.000522
2.429998, -0.001129
2.439998, -0.001747
2.449998, -0.002372
2.459998, -0.003002
2.469998, -0.003635
2.479998, -0.004267
2.489998, -0.004897
2.499998, -0.005520
2.509998, -0.006136
2.519998, -0.006740
2.529998, -0.007331
2.539998, -0.007906
2.549998, -0.008461
2.559998, -0.008996
2.569998, -0.009507
2.579998, -0.009992
2.589998, -0.010449
2.599998, -0.010877
2.609998, -0.011272
2.619998, -0.011633
2.629998, -0.011959
2.639998, -0.012248
2.649998, -0.012500
2.659998, -0.012711
2.669998, -0.012883
2.679998, -0.013013
2.689998, -0.013101
2.699998, -0.013148
2.709998, -0.013152
2.719998, -0.013114
2.729998, -0.013033
2.739998, -0.012911
2.749998, -0.012747
2.759998, -0.012543
2.769998, -0.012299
2.779998, -0.012017
2.789998, -0.011698
2.799998, -0.011344
2.809998, -0.010956
2.819998, -0.010536
2.829998, -0.010086
2.839998, -0.009609
