t, ur
0.000000, -52.475952
0.020000, -0.352661
0.030000, -0.355591
0.040000, -0.354004
0.050000, -0.355591
0.060000, 0.157227
0.070000, 0.155151
0.080000, 0.154053
0.090000, -0.357178
0.100000, -0.358032
0.110000, 0.152710
0.120000, -0.363892
0.130000, 0.143921
0.140000, -0.372681
0.150000, -0.374756
0.160000, -0.385742
0.170000, 0.122681
0.180000, -0.394775
0.190000, -0.397095
0.200000, 0.105835
0.210000, -0.408569
0.220000, -0.418945
0.230000, -0.424805
0.240000, -0.435791
0.250000, -0.437012
0.260000, 2.617065
0.270000, 2.101685
0.280000, 1.577271
0.300000, 2.082520
0.310000, 5.648071
0.320000, 5.133301
0.330000, 7.166382
0.340000, 7.670410
0.350000, 7.658203
0.360000, 10.719360
0.370000, 10.197876
0.380000, 13.261108
0.390000, 12.740234
0.400000, 12.737549
0.410000, 12.215820
0.420000, 12.727173
0.430000, 15.273926
0.440000, 15.273071
0.450000, 15.776001
0.460000, 14.756592
0.470000, 17.307617
0.480000, 17.818665
0.490000, 20.882935
0.500000, 20.372375
0.510000, 20.374817
0.520000, 20.375854
0.530000, 23.448669
0.540000, 22.937622
0.550000, 23.455566
0.560000, 26.015747
0.570000, 22.958923
0.580000, 22.966064
0.590000, 28.089783
0.600000, 26.563477
0.610000, 28.621887
0.620000, 28.629028
0.630000, 28.649841
0.640000, 28.660706
0.650000, 28.677490
0.660000, 29.713196
0.670000, 28.715027
0.680000, 28.723816
0.690000, 31.305237
0.700000, 28.764526
0.710000, 31.854370
0.720000, 31.867676
0.730000, 31.899597
0.740000, 31.401611
0.750000, 31.425537
0.760000, 30.924377
0.770000, 31.466003
0.780000, 30.962158
0.790000, 31.504639
0.800000, 29.468628
0.810000, 31.028992
0.820000, 31.036194
0.830000, 31.069458
0.839999, 31.587646
0.849999, 31.106689
0.859999, 31.113647
0.869999, 31.138123
0.879999, 31.655518
0.889999, 34.744324
0.899999, 34.239929
0.909999, 31.193481
0.919999, 31.199341
0.929999, 29.171814
0.939999, 33.775146
0.949999, 30.727600
0.959999, 31.241943
0.969999, 31.766785
0.979999, 28.703064
0.989999, 31.778809
0.999999, 31.781189
1.009999, 31.787842
1.019999, 31.788879
1.029999, 28.724365
1.039999, 30.768616
1.049999, 29.234619
1.059999, 28.724365
1.069999, 31.786255
1.079999, 27.696899
1.089999, 28.711060
1.099999, 28.709473
1.109999, 28.697449
1.119999, 28.694519
1.129999, 29.188538
1.139999, 29.695923
1.149999, 28.656189
1.159999, 28.651672
1.169999, 31.185242
1.179999, 31.179932
1.189999, 31.156494
1.199999, 31.659546
1.209999, 28.562256
1.219999, 28.555359
1.229999, 31.075806
1.239999, 31.578369
1.249999, 31.035339
1.259999, 31.027405
1.269999, 31.503052
1.279999, 28.427551
1.289999, 33.504395
1.299999, 30.426819
1.309999, 31.413330
1.319999, 30.892151
1.329999, 33.916748
1.339999, 32.885315
1.349999, 31.310059
1.359999, 33.856384
1.369999, 30.752930
1.379999, 30.232788
1.389999, 34.284607
1.399999, 31.721802
1.409999, 33.221985
1.419999, 30.654724
1.429999, 34.204773
1.439999, 34.189331
1.449999, 33.650330
1.459999, 33.641785
1.469999, 33.615723
1.479999, 34.121155
1.489999, 33.587769
1.499999, 33.581665
1.509999, 32.537964
1.519999, 33.552368
1.529999, 34.048279
1.539999, 33.530579
1.549999, 33.007202
1.559999, 35.046448
1.569999, 33.502075
1.579999, 32.988281
1.589999, 33.489014
1.599999, 33.489014
1.609999, 33.483704
1.619999, 33.995789
1.629999, 32.971802
1.639999, 37.060608
1.649999, 32.976318
1.659999, 35.533264
1.669999, 33.494324
1.679999, 36.563171
1.689999, 33.506042
1.699999, 36.064819
1.709999, 33.526550
1.719999, 33.020508
1.729999, 33.547852
1.739999, 33.043152
1.749999, 33.573669
1.759999, 33.068420
1.769999, 33.093201
1.779999, 33.098755
1.789999, 33.124573
1.799999, 34.157410
1.809999, 33.675903
1.819999, 34.198120
1.829999, 33.718445
1.839999, 33.726746
1.849999, 33.757629
1.859999, 33.254761
1.869999, 31.242981
1.879999, 30.739624
1.889999, 31.282104
1.899999, 31.295959
1.909999, 30.816040
1.919999, 30.829102
1.929999, 31.883362
1.939999, 29.847900
1.949998, 30.898804
1.959998, 31.416809
1.969998, 31.447388
1.979998, 31.454285
1.989998, 30.969910
1.999998, 28.428650
2.009999, 31.519775
2.019999, 31.526184
2.029999, 28.480835
2.039999, 31.554688
2.049999, 29.017395
2.059999, 29.022461
2.069999, 28.530823
2.079998, 29.557007
2.089998, 32.130920
2.099998, 29.069580
2.109998, 29.085022
2.119998, 29.088196
2.129998, 29.099365
2.139998, 29.612366
2.149998, 28.600830
2.159998, 28.601135
2.169998, 29.118530
2.179998, 29.120972
2.189998, 29.126038
2.199998, 28.614685
2.209998, 29.127075
2.219998, 29.126831
2.229998, 28.612549
2.239998, 29.123901
2.249998, 28.097534
